id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,363236,178603,250026,184633,65393,113210,100.0,49.16996112720105,68.83293506150271,50.83003887279895,18.00289618870376,31.167064938497287
02,02,278393,110736,210027,167657,42370,68366,100.0,39.776862205587065,75.44262966382057,60.22313779441293,15.219491869407637,24.557370336179428
03,03,389976,65853,348356,324123,24233,41620,100.0,16.886423779924918,89.32754836195048,83.11357622007507,6.213972141875398,10.672451638049521
04,04,330468,125882,254598,204586,50012,75870,100.0,38.09203916869409,77.0416500236029,61.90796083130591,15.133689192296984,22.95834997639711
05,05,234630,74026,197423,160604,36819,37207,100.0,31.550100157695095,84.14226654732984,68.4498998423049,15.692366705024932,15.85773345267016
06,06,299765,72519,261585,227246,34339,38180,100.0,24.191950361116206,87.26335629576502,75.80804963888379,11.455306656881223,12.736643704234984
07,07,341161,114939,279672,226222,53450,61489,100.0,33.6905449333306,81.9765447984969,66.3094550666694,15.667089731827494,18.023455201503104
08,08,328062,141406,248687,186656,62031,79375,100.0,43.103437764812746,75.80487834616628,56.896562235187254,18.908316110979023,24.195121653833727
09,09,253333,27123,237311,226210,11101,16022,100.0,10.706461455870336,93.67551799410262,89.29353854412966,4.3819794499729605,6.3244820058973765
10,10,259373,38628,240963,220745,20218,18410,100.0,14.892837727905373,92.90211394401113,85.10716227209463,7.794951671916506,7.097886055988865
11,11,275142,54832,241459,220310,21149,33683,100.0,19.928618676901383,87.7579577091102,80.07138132309862,7.686576386011587,12.242042290889794
12,12,256617,73544,218974,183073,35901,37643,100.0,28.659052206206137,85.3310575682827,71.34094779379386,13.990109774488829,14.668942431717305
