id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
010111,01,01,11,100.0,2465.0,315.0,149.0,235.0,89.0,186.0,112.99999999999999,480.0,194.0,189.0,61.0,345.0,86.0,114.99999999999999,1137.0,484.0,227.0,64.0,2990.0,833.0,168.0,1455.0,285.0,329.0,70.0,146.0,465.00000000000006
010112,01,01,12,100.0,1581.0,125.0,75.0,147.0,86.0,96.0,103.0,194.0,328.0,70.0,27.0,118.0,16.0,48.0,1059.0,537.0,180.0,30.0,852.0,151.0,21.0,509.99999999999994,45.0,153.0,131.0,140.0,134.0
010113,01,01,13,100.0,6843.000000000001,819.0,233.0,786.0,454.0,609.0,607.0,897.0000000000001,408.0,252.0,149.0,782.0,127.0,193.0,2144.0,906.0,388.0,156.0,3372.0,1211.0,165.0,1287.0,104.0,308.0,1047.0,931.0,614.0
010114,01,01,14,100.0,5262.0,726.0,204.99999999999997,720.0,372.0,473.00000000000006,573.0,490.00000000000006,138.0,159.0,55.00000000000001,297.0,55.00000000000001,88.0,918.0,376.0,179.0,28.000000000000004,1146.0,254.99999999999997,78.0,459.0,26.0,145.0,92.0,669.0,172.0
010221,01,02,21,100.0,7086.0,566.0,364.0,660.0,204.99999999999997,315.0,297.0,2089.0,742.0,501.0,345.0,1614.9999999999998,285.0,644.0,1335.0,476.0,291.0,95.0,7434.0,3171.0,231.99999999999997,2988.0,981.0,443.0,227.99999999999997,306.0,1272.0
010222,01,02,22,100.0,5381.0,455.99999999999994,298.0,549.0,221.0,322.0,250.0,1394.0,409.0,339.0,182.0,1077.0,240.0,415.00000000000006,1636.0,651.0,374.0,105.0,6430.0,3310.0,209.0,2199.0,641.0,377.0,155.0,264.0,1259.0
010331,01,03,31,100.0,6385.0,259.0,600.0,407.0,147.0,241.0,164.0,1616.0,1425.0,570.0,246.0,2078.0,537.0,848.0,1064.0,436.00000000000006,170.0,97.0,10686.0,6738.0,81.0,2652.0,866.0,374.0,135.0,166.0,1511.0
010332,01,03,32,100.0,4657.0,265.0,185.0,408.0,130.0,254.0,165.0,1497.0,594.0,265.0,260.0,1410.0,326.0,438.99999999999994,1607.9999999999998,723.0,241.0,231.0,11965.0,7584.0,63.0,3110.0,1366.0,308.0,89.0,183.0,1992.0000000000002
010441,01,04,41,100.0,6436.0,393.0,360.0,562.0,200.0,204.0,180.0,2120.0,1034.0,259.0,333.0,1639.0,325.0,548.0,994.9999999999999,388.0,177.0,94.0,7198.999999999999,4389.0,136.0,1764.9999999999998,443.0,267.0,167.0,198.0,1266.0
010442,01,04,42,100.0,10038.0,520.0,707.0,725.0,260.0,497.0,332.0,2654.0,2030.9999999999998,645.0,350.0,2618.0,780.0,964.0,1541.0,582.0,291.0,119.0,15130.000000000002,8753.0,150.0,4245.0,1412.0,573.0,223.0,281.0,2060.0
