id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14451,8483,8982,5968,3014,5469,100.0,58.70181994325652,62.15486817521278,41.298180056743476,20.85668811846931,37.84513182478721
010112,01,01,12,10302,4502,7290,5800,1490,3012,100.0,43.700252378178995,70.76295864880606,56.299747621821005,14.463211026985052,29.237041351193945
010113,01,01,13,51961,18491,39508,33470,6038,12453,100.0,35.58630511345047,76.03394853832683,64.41369488654954,11.620253651777295,23.966051461673178
010114,01,01,14,28765,10312,21464,18453,3011,7301,100.0,35.849122197114546,74.6184599339475,64.15087780288545,10.467582131062054,25.381540066052494
010221,01,02,21,44897,20852,31599,24045,7554,13298,100.0,46.444083123594005,70.38109450520079,53.555916876405995,16.825177628794798,29.618905494799208
010222,01,02,22,36961,17630,26472,19331,7141,10489,100.0,47.69892589486216,71.62143881388491,52.30107410513784,19.320364708747057,28.378561186115093
010331,01,03,31,38254,22807,23514,15447,8067,14740,100.0,59.619909029121146,61.46808176922674,40.38009097087886,21.087990798347885,38.53191823077326
010332,01,03,32,36933,22476,25063,14457,10606,11870,100.0,60.856144911055154,67.86072076462784,39.143855088944846,28.716865675682996,32.13927923537216
010441,01,04,41,44371,18894,32476,25477,6999,11895,100.0,42.581866534448174,73.19194969687408,57.418133465551826,15.773816231322261,26.808050303125913
010442,01,04,42,56341,34156,33658,22185,11473,22683,100.0,60.62370209971424,59.73979872561722,39.37629790028576,20.363500825331464,40.26020127438278
020101,02,01,01,40128,26935,26445,13193,13252,13683,100.0,67.12270733652312,65.90161483253588,32.87729266347688,33.02432216905901,34.098385167464116
