id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,15460.0,19564.0,5960.0,27545.0,64792.99999999999,22283.0,12650.0,10348.0,84543.0,113209.99999999999
02,02,100.0,8857.0,11209.0,3640.9999999999995,16437.0,44453.0,13147.0,6815.000000000001,6177.0,53617.99999999999,68366.0
03,03,100.0,7397.0,7180.0,1601.0000000000002,8921.0,28955.0,6945.999999999999,3088.0,1764.9999999999998,32316.000000000004,41620.0
04,04,100.0,9256.0,12215.0,3672.0,14475.0,40930.0,18672.0,14007.0,12655.0,62744.00000000001,75870.0
05,05,100.0,7395.999999999999,10078.0,3139.0,8894.0,21765.0,10081.0,7190.000000000001,5483.0,36396.0,37207.0
06,06,100.0,6173.0,9118.0,2823.0,8569.0,20919.0,10498.0,7801.000000000001,6618.000000000001,37106.0,38180.0
07,07,100.0,9797.0,13412.0,4132.0,13734.0,36563.0,16400.0,11379.0,9522.0,56582.00000000001,61489.0
08,08,100.0,13311.000000000002,17332.0,5579.0,18433.0,48558.0,18052.0,11271.0,8870.0,68423.0,79375.0
09,09,100.0,2982.0,3440.9999999999995,905.0000000000001,4181.0,9533.0,3247.9999999999995,1757.0,1076.0,12886.000000000002,16022.0
10,10,100.0,4457.0,5373.0,1334.0,5355.0,11966.0,4423.0,3547.9999999999995,2172.0,19049.0,18410.0
11,11,100.0,5965.0,6545.999999999999,1757.9999999999998,9588.0,18871.0,6009.0,4132.0,1963.0,25827.0,33683.0
12,12,100.0,7722.0,10607.0,3314.0,8567.0,21713.0,9974.0,6762.0,4885.0,36188.0,37643.0
