id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01011101,01,01,11,01,3090,1698,1929,1392,537,1161,100.0,54.95145631067962,62.42718446601941,45.04854368932038,17.37864077669903,37.57281553398058
01011102,01,01,11,02,202,75,139,127,12,63,100.0,37.12871287128713,68.8118811881188,62.87128712871287,5.9405940594059405,31.18811881188119
01011103,01,01,11,03,5489,3180,3386,2309,1077,2103,100.0,57.93404991801785,61.68701038440517,42.065950081982145,19.621060302423025,38.31298961559483
01011104,01,01,11,04,4560,2908,2871,1652,1219,1689,100.0,63.771929824561404,62.96052631578948,36.228070175438596,26.73245614035088,37.03947368421053
01011105,01,01,11,05,1110,622,657,488,169,453,100.0,56.03603603603604,59.189189189189186,43.96396396396396,15.225225225225225,40.81081081081081
01011201,01,01,12,01,2026,1000,1378,1026,352,648,100.0,49.3583415597236,68.01579466929911,50.6416584402764,17.374136229022703,31.98420533070089
01011202,01,01,12,02,549,245,366,304,62,183,100.0,44.626593806921676,66.66666666666666,55.373406193078324,11.293260473588344,33.33333333333333
01011203,01,01,12,03,962,481,607,481,126,355,100.0,50.0,63.09771309771309,50.0,13.097713097713099,36.9022869022869
01011204,01,01,12,04,6765,2776,4939,3989,950,1826,100.0,41.03473762010347,73.00813008130082,58.96526237989652,14.042867701404289,26.991869918699184
01011301,01,01,13,01,6173,2314,4511,3859,652,1662,100.0,37.48582536854042,73.07630001619958,62.51417463145958,10.562125384739996,26.923699983800418
01011302,01,01,13,02,12281,4439,9234,7842,1392,3047,100.0,36.14526504356323,75.18931683087696,63.85473495643678,11.334581874440191,24.810683169123035
01011303,01,01,13,03,8886,3518,6352,5368,984,2534,100.0,39.590366869232504,71.48323205041639,60.4096331307675,11.073598919648886,28.516767949583617
01011304,01,01,13,04,8479,2771,6768,5708,1060,1711,100.0,32.68074065337893,79.82073357707277,67.31925934662107,12.501474230451704,20.17926642292723
01011305,01,01,13,05,7281,2304,5805,4977,828,1476,100.0,31.64400494437577,79.72805933250928,68.35599505562423,11.372064276885045,20.27194066749073
01011306,01,01,13,06,8861,3145,6838,5716,1122,2023,100.0,35.49260805778129,77.1696196817515,64.5073919422187,12.662227739532783,22.830380318248505
01011401,01,01,14,01,15751,5833,11567,9918,1649,4184,100.0,37.03256936067551,73.43660719954289,62.96743063932448,10.469176560218399,26.563392800457112
01011402,01,01,14,02,13014,4479,9897,8535,1362,3117,100.0,34.41678192715537,76.04887044721069,65.58321807284463,10.465652374366067,23.951129552789304
01022101,01,02,21,01,3451,1750,2247,1701,546,1204,100.0,50.709939148073026,65.11156186612575,49.290060851926974,15.821501014198782,34.88843813387424
01022102,01,02,21,02,6336,3655,3816,2681,1135,2520,100.0,57.68623737373737,60.22727272727273,42.31376262626262,17.913510101010104,39.77272727272727
01022103,01,02,21,03,251,165,133,86,47,118,100.0,65.73705179282868,52.98804780876494,34.26294820717131,18.725099601593627,47.01195219123506
01022104,01,02,21,04,18040,8443,12701,9597,3104,5339,100.0,46.80155210643016,70.40465631929047,53.19844789356984,17.20620842572062,29.595343680709536
01022105,01,02,21,05,5272,2967,3443,2305,1138,1829,100.0,56.278452200303484,65.3072837632777,43.72154779969651,21.585735963581186,34.692716236722305
01022106,01,02,21,06,11547,3872,9259,7675,1584,2288,100.0,33.53251926907422,80.18532952281979,66.46748073092577,13.717848791894,19.814670477180222
01022201,01,02,22,01,10783,5097,7673,5686,1987,3110,100.0,47.26884911434666,71.15830473894093,52.73115088565334,18.42715385328758,28.841695261059076
01022202,01,02,22,02,1478,976,988,502,486,490,100.0,66.03518267929634,66.84709066305818,33.96481732070365,32.88227334235454,33.15290933694182
01022203,01,02,22,03,6886,3925,4664,2961,1703,2222,100.0,56.9997095556201,67.73162939297124,43.0002904443799,24.731338948591343,32.26837060702875
