district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,2075,609.0,48.0,61.0,74.0,24.0,72.0,35.0,108.0,23.0,19.0,31.0,69.0,9.0,11,370.0,130.0,80.0,27.0,479.0,91.0,48.0,256.0,21.0,48.0,19.0,50.0,88.0
1,1,11,2,71,39.0,3.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,3.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,3.0,0.0,7.0,3.0
1,1,11,3,2979,972.0,143.0,34.0,93.0,38.0,53.0,40.0,181.0,87.0,110.0,30.0,135.0,15.0,66,415.0,179.0,88.0,38.0,907.0,326.0,72.0,358.0,45.0,99.0,34.0,53.0,138.0
1,1,11,4,3005,682.0,98.0,32.0,74.0,30.0,47.0,49.0,115.0,55.0,27.0,18.0,115.0,51.0,22,263.0,107.0,74.0,6.0,1301.0,400.0,63.0,665.0,203.0,121.0,22.0,48.0,179.0
1,1,11,5,1047,280.0,22.0,9.0,41.0,15.0,26.0,16.0,58.0,12.0,4.0,3.0,9.0,0.0,3,239.0,130.0,49.0,17.0,332.0,47.0,16.0,228.0,4.0,11.0,3.0,30.0,24.0
1,1,12,1,1494,378.0,24.0,18.0,43.0,10.0,19.0,21.0,33.0,98.0,30.0,0.0,25.0,6.0,12,337.0,161.0,86.0,6.0,316.0,50.0,25.0,202.0,21.0,20.0,47.0,46.0,67.0
1,1,12,2,315,156.0,19.0,3.0,25.0,15.0,4.0,12.0,7.0,3.0,29.0,0.0,3.0,0.0,3,56.0,24.0,15.0,4.0,19.0,3.0,0.0,9.0,3.0,0.0,0.0,33.0,0.0
1,1,12,3,637,182.0,12.0,20.0,22.0,6.0,6.0,27.0,19.0,15.0,6.0,6.0,18.0,3.0,9,228.0,148.0,12.0,6.0,91.0,44.0,6.0,26.0,7.0,0.0,19.0,30.0,7.0
1,1,12,4,4341,1307.0,103.0,41.0,117.0,66.0,91.0,71.0,181.0,217.0,53.0,37.0,129.0,9.0,43,920.0,476.0,171.0,34.0,965.0,189.0,55.0,535.0,43.0,178.0,164.0,128.0,146.0
1,1,13,1,3009,1255.0,115.0,30.0,117.0,112.0,109.0,119.0,154.0,47.0,81.0,32.0,90.0,15.0,28,432.0,193.0,64.0,32.0,464.0,107.0,48.0,166.0,6.0,47.0,34.0,186.0,43.0
1,1,13,2,5095,2184.0,318.0,58.0,262.0,134.0,192.0,303.0,238.0,119.0,48.0,47.0,174.0,12.0,50,499.0,245.0,81.0,12.0,705.0,212.0,52.0,280.0,17.0,105.0,96.0,398.0,83.0
1,1,13,3,4811,1630.0,158.0,78.0,216.0,69.0,164.0,160.0,199.0,112.0,64.0,27.0,138.0,19.0,49,595.0,288.0,101.0,40.0,895.0,158.0,63.0,451.0,40.0,152.0,306.0,243.0,130.0
1,1,13,4,3832,828.0,68.0,35.0,110.0,15.0,99.0,37.0,168.0,54.0,43.0,6.0,201.0,34.0,29,419.0,166.0,72.0,36.0,950.0,282.0,41.0,386.0,10.0,100.0,698.0,64.0,134.0
