id,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011302,12540,100.0,5095.0,40.6,9140.0,72.9,7445.0,59.4,1695.0,13.5,3400.0,27.1,12540,709.0,1012.0,314.0,1025.0,4844.0,2254.0,1353.0,1029.0,6056.0,3400.0,5095,415.0,501.0,139.0,485.0,2388.0,671.0,308.0,188.0,2495.0,3400.0,5095,2184.0,318.0,58.0,262.0,134.0,192.0,303.0,238.0,119.0,48.0,47.0,174.0,12.0,50,499.0,245.0,81.0,12.0,705.0,212.0,52.0,280.0,17.0,105.0,96.0,398.0,83.0
01011303,10011,100.0,4811.0,48.1,6529.0,65.2,5200.0,51.9,1329.0,13.3,3482.0,34.8,10011,489.0,508.0,101.0,1209.0,3947.0,1222.0,1027.0,1508.0,4725.0,3482.0,4811,343.0,356.0,71.0,703.0,2369.0,468.0,301.0,200.0,2271.0,3482.0,4811,1630.0,158.0,78.0,216.0,69.0,164.0,160.0,199.0,112.0,64.0,27.0,138.0,19.0,49,595.0,288.0,101.0,40.0,895.0,158.0,63.0,451.0,40.0,152.0,306.0,243.0,130.0
01011304,8813,100.0,3832.0,43.5,6386.0,72.5,4981.0,56.5,1405.0,15.9,2427.0,27.5,8813,472.0,563.0,170.0,864.0,2401.0,900.0,933.0,2510.0,4649.0,2427.0,3832,362.0,415.0,131.0,540.0,1431.0,427.0,253.0,273.0,1948.0,2427.0,3832,828.0,68.0,35.0,110.0,15.0,99.0,37.0,168.0,54.0,43.0,6.0,201.0,34.0,29,419.0,166.0,72.0,36.0,950.0,282.0,41.0,386.0,10.0,100.0,698.0,64.0,134.0
01011305,8778,100.0,3700.0,42.2,6308.0,71.9,5078.0,57.8,1230.0,14.0,2470.0,28.1,8778,485.0,412.0,125.0,768.0,3049.0,1063.0,934.0,1942.0,4289.0,2470.0,3700,338.0,266.0,84.0,410.0,1670.0,483.0,198.0,251.0,1705.0,2470.0,3700,963.0,84.0,15.0,109.0,42.0,91.0,99.0,121.0,86.0,28.0,27.0,78.0,15.0,13,581.0,301.0,106.0,23.0,836.0,187.0,31.0,452.0,31.0,145.0,106.0,114.0,127.0
01011306,10831,100.0,4939.0,45.6,7480.0,69.1,5892.0,54.4,1588.0,14.7,3351.0,30.9,10831,631.0,550.0,111.0,1634.0,3768.0,1330.0,1207.0,1600.0,5316.0,3351.0,4939,375.0,335.0,66.0,1261.0,1945.0,472.0,271.0,214.0,2452.0,3351.0,4939,1520.0,133.0,43.0,198.0,73.0,114.0,135.0,238.0,97.0,71.0,40.0,207.0,25.0,57,468.0,179.0,99.0,46.0,1140.0,591.0,40.0,306.0,19.0,87.0,219.0,385.0,226.0
01011401,18200,100.0,8085.0,44.4,12424.0,68.3,10115.0,55.6,2309.0,12.7,5776.0,31.7,18200,1269.0,1441.0,347.0,1741.0,8008.0,2929.0,1468.0,997.0,8920.0,5776.0,8085,716.0,739.0,179.0,921.0,4141.0,911.0,289.0,189.0,4016.0,5776.0,8085,3417.0,418.0,128.0,413.0,231.0,263.0,372.0,394.0,127.0,150.0,50.0,182.0,21.0,42,864.0,408.0,168.0,46.0,1323.0,257.0,86.0,639.0,18.0,201.0,73.0,515.0,170.0
01011402,13640,100.0,5578.0,40.9,9882.0,72.4,8062.0,59.1,1820.0,13.3,3758.0,27.6,13640,999.0,1109.0,236.0,1045.0,6070.0,2346.0,976.0,859.0,6794.0,3758.0,5578,544.0,479.0,87.0,541.0,2920.0,632.0,208.0,167.0,2797.0,3758.0,5578,2703.0,376.0,118.0,398.0,201.0,226.0,340.0,208.0,80.0,82.0,39.0,136.0,21.0,48,424.0,200.0,73.0,16.0,589.0,144.0,50.0,252.0,15.0,36.0,53.0,523.0,111.0
01022101,3524,100.0,1913.0,54.3,2221.0,63.0,1611.0,45.7,610.0,17.3,1303.0,37.0,3524,206.0,217.0,49.0,554.0,1410.0,403.0,397.0,288.0,1602.0,1303.0,1913,155.0,182.0,46.0,277.0,753.0,219.0,161.0,120.0,869.0,1303.0,1913,710.0,50.0,39.0,40.0,24.0,22.0,34.0,225.0,81.0,63.0,28.0,139.0,40.0,52,108.0,32.0,29.0,6.0,688.0,163.0,40.0,386.0,144.0,82.0,7.0,39.0,86.0
01022102,6809,100.0,4258.0,62.5,3866.0,56.8,2551.0,37.5,1315.0,19.3,2943.0,43.2,6809,361.0,418.0,144.0,1248.0,2534.0,815.0,664.0,625.0,3132.0,2943.0,4258,294.0,370.0,110.0,732.0,1523.0,558.0,346.0,325.0,1980.0,2943.0,4258,1387.0,100.0,98.0,105.0,34.0,52.0,55.0,338.0,226.0,79.0,72.0,360.0,51.0,135,187.0,65.0,27.0,15.0,1585.0,571.0,38.0,748.0,159.0,149.0,48.0,59.0,227.0
01022103,295,100.0,248.0,84.1,106.0,35.9,47.0,15.9,59.0,20.0,189.0,64.1,295,28.0,49.0,15.0,27.0,91.0,32.0,28.0,25.0,138.0,189.0,248,25.0,42.0,9.0,27.0,84.0,20.0,25.0,16.0,114.0,189.0,248,40.0,3.0,7.0,0.0,0.0,0.0,3.0,9.0,9.0,0.0,6.0,16.0,4.0,3,0.0,0.0,0.0,0.0,148.0,36.0,6.0,53.0,15.0,12.0,7.0,3.0,18.0
01022104,18823,100.0,9559.0,50.8,12577.0,66.8,9264.0,49.2,3313.0,17.6,6246.0,33.2,18823,995.0,1143.0,341.0,2695.0,7034.0,2270.0,2137.0,2208.0,8921.0,6246.0,9559,631.0,845.0,254.0,1415.0,3548.0,1201.0,861.0,804.0,4438.0,6246.0,9559,3021.0,256.0,166.0,344.0,100.0,173.0,187.0,717.0,246.0,196.0,180.0,768.0,117.0,271,569.0,230.0,125.0,30.0,3393.0,1364.0,110.0,1437.0,427.0,327.0,114.0,189.0,511.0
01022105,5365,100.0,3154.0,58.8,3382.0,63.0,2211.0,41.2,1171.0,21.8,1983.0,37.0,5365,308.0,396.0,115.0,875.0,1929.0,638.0,559.0,545.0,2498.0,1983.0,3154,220.0,345.0,97.0,521.0,1069.0,413.0,264.0,225.0,1454.0,1983.0,3154,936.0,51.0,50.0,105.0,27.0,32.0,33.0,155.0,267.0,72.0,32.0,201.0,31.0,107,197.0,73.0,66.0,6.0,1287.0,515.0,45.0,587.0,208.0,138.0,10.0,32.0,202.0
01022106,11459,100.0,4120.0,36.0,9077.0,79.2,7339.0,64.0,1738.0,15.2,2382.0,20.8,11459,571.0,689.0,245.0,1250.0,3468.0,1549.0,1687.0,2000.0,5797.0,2382.0,4120,289.0,366.0,126.0,493.0,1560.0,492.0,407.0,387.0,2039.0,2382.0,4120,1499.0,156.0,72.0,172.0,72.0,92.0,99.0,284.0,99.0,115.0,57.0,225.0,47.0,67,427.0,176.0,111.0,34.0,1141.0,421.0,84.0,444.0,116.0,68.0,21.0,113.0,166.0
01022201,11048,100.0,5627.0,50.9,7568.0,68.5,5421.0,49.1,2147.0,19.4,3480.0,31.5,11048,666.0,716.0,196.0,1670.0,4475.0,1301.0,1057.0,967.0,5201.0,3480.0,5627,413.0,528.0,150.0,848.0,2198.0,677.0,454.0,359.0,2672.0,3480.0,5627,1762.0,193.0,94.0,214.0,76.0,103.0,101.0,366.0,116.0,137.0,75.0,317.0,69.0,93,342.0,133.0,85.0,20.0,2157.0,1051.0,86.0,718.0,154.0,221.0,43.0,128.0,327.0
01022202,3580,100.0,2277.0,63.6,2190.0,61.2,1303.0,36.4,887.0,24.8,1390.0,38.8,3580,294.0,217.0,59.0,552.0,1633.0,342.0,239.0,244.0,1681.0,1390.0,2277,222.0,189.0,49.0,322.0,1050.0,211.0,109.0,125.0,1066.0,1390.0,2277,546.0,34.0,35.0,88.0,38.0,27.0,52.0,84.0,34.0,16.0,13.0,69.0,7.0,25,229.0,129.0,44.0,6.0,802.0,480.0,18.0,245.0,66.0,43.0,12.0,49.0,221.0
01022203,7150,100.0,4304.0,60.2,4690.0,65.6,2846.0,39.8,1844.0,25.8,2460.0,34.4,7150,484.0,651.0,178.0,954.0,2303.0,835.0,708.0,1037.0,3483.0,2460.0,4304,382.0,553.0,148.0,507.0,1387.0,533.0,321.0,473.0,2105.0,2460.0,4304,1092.0,70.0,61.0,72.0,26.0,52.0,40.0,269.0,166.0,64.0,89.0,349.0,90.0,94,277.0,108.0,73.0,23.0,1969.0,1029.0,26.0,752.0,262.0,154.0,18.0,42.0,369.0
01022204,6081,100.0,2661.0,43.8,4443.0,73.1,3420.0,56.2,1023.0,16.8,1638.0,26.9,6081,343.0,352.0,105.0,657.0,2014.0,849.0,755.0,1006.0,2951.0,1638.0,2661,195.0,213.0,63.0,327.0,1080.0,346.0,240.0,197.0,1207.0,1638.0,2661,980.0,103.0,60.0,84.0,42.0,47.0,48.0,226.0,56.0,74.0,28.0,130.0,10.0,48,307.0,141.0,67.0,10.0,652.0,246.0,44.0,262.0,42.0,62.0,21.0,80.0,120.0
01022205,3316,100.0,2109.0,63.6,2226.0,67.1,1207.0,36.4,1019.0,30.7,1090.0,32.9,3316,265.0,340.0,115.0,379.0,871.0,386.0,401.0,559.0,1636.0,1090.0,2109,216.0,295.0,99.0,223.0,611.0,254.0,203.0,208.0,1040.0,1090.0,2109,367.0,9.0,6.0,52.0,9.0,19.0,18.0,148.0,34.0,16.0,19.0,160.0,33.0,61,296.0,110.0,92.0,12.0,1017.0,355.0,33.0,482.0,143.0,143.0,7.0,15.0,168.0
01022206,3045,100.0,1304.0,42.8,2334.0,76.7,1741.0,57.2,593.0,19.5,711.0,23.3,3045,130.0,209.0,64.0,284.0,1050.0,455.0,372.0,481.0,1442.0,711.0,1304,88.0,135.0,40.0,136.0,507.0,160.0,120.0,118.0,636.0,711.0,1304,500.0,30.0,41.0,51.0,18.0,29.0,22.0,132.0,48.0,18.0,6.0,50.0,6.0,12,130.0,55.0,18.0,16.0,351.0,160.0,26.0,117.0,16.0,13.0,21.0,27.0,68.0
01022207,5822,100.0,2797.0,48.0,3790.0,65.1,3025.0,52.0,765.0,13.1,2032.0,34.9,5822,193.0,243.0,89.0,1061.0,1635.0,654.0,678.0,1269.0,2839.0,2032.0,2797,117.0,150.0,50.0,770.0,1039.0,243.0,196.0,232.0,1348.0,2032.0,2797,1069.0,124.0,49.0,113.0,53.0,127.0,60.0,183.0,60.0,45.0,24.0,94.0,24.0,19,312.0,132.0,71.0,17.0,576.0,165.0,39.0,215.0,24.0,60.0,31.0,77.0,87.0
01033101,26956,100.0,17239.0,64.0,15621.0,57.9,9717.0,36.0,5904.0,21.9,11335.0,42.1,26956,1947.0,2563.0,775.0,3919.0,9237.0,3237.0,2558.0,2720.0,12748.0,11335.0,17239,1599.0,2208.0,664.0,2375.0,5746.0,2185.0,1343.0,1119.0,8069.0,11335.0,17239,5036.0,204.0,502.0,339.0,131.0,187.0,166.0,1048.0,1208.0,528.0,194.0,1408.0,385.0,497,801.0,337.0,105.0,63.0,8035.0,4173.0,69.0,2665.0,648.0,629.0,65.0,140.0,1038.0
01033102,11853,100.0,7311.0,61.7,7283.0,61.4,4542.0,38.3,2741.0,23.1,4570.0,38.6,11853,764.0,1011.0,318.0,1833.0,4115.0,1529.0,1076.0,1207.0,5686.0,4570.0,7311,570.0,865.0,280.0,1084.0,2439.0,995.0,556.0,522.0,3473.0,4570.0,7311,1878.0,139.0,129.0,179.0,51.0,64.0,76.0,409.0,370.0,152.0,90.0,595.0,128.0,208,316.0,113.0,77.0,27.0,3542.0,2265.0,26.0,909.0,269.0,180.0,41.0,70.0,508.0
01033201,14303,100.0,9580.0,67.0,9841.0,68.8,4723.0,33.0,5118.0,35.8,4462.0,31.2,14303,1180.0,1606.0,493.0,1749.0,4487.0,1657.0,1426.0,1705.0,7131.0,4462.0,9580,984.0,1445.0,437.0,1030.0,2940.0,1146.0,817.0,781.0,4733.0,4462.0,9580,1397.0,74.0,52.0,156.0,66.0,96.0,64.0,384.0,89.0,77.0,70.0,383.0,76.0,86,703.0,269.0,120.0,136.0,5652.0,3510.0,53.0,1536.0,600.0,277.0,53.0,101.0,982.0
01033202,10509,100.0,6219.0,59.2,7319.0,69.6,4290.0,40.8,3029.0,28.8,3190.0,30.4,10509,698.0,935.0,266.0,1397.0,3029.0,1201.0,1179.0,1804.0,5318.0,3190.0,6219,571.0,784.0,231.0,896.0,1930.0,737.0,527.0,543.0,3086.0,3190.0,6219,1243.0,65.0,49.0,130.0,52.0,69.0,56.0,434.0,91.0,39.0,88.0,365.0,51.0,134,455.0,181.0,96.0,57.0,3048.0,1943.0,26.0,747.0,190.0,126.0,22.0,71.0,629.0
01033203,14657,100.0,9473.0,64.6,8720.0,59.5,5184.0,35.4,3536.0,24.1,5937.0,40.5,14657,947.0,1269.0,447.0,2355.0,5121.0,1729.0,1317.0,1472.0,6806.0,5937.0,9473,767.0,1147.0,395.0,1385.0,3302.0,1155.0,696.0,626.0,4410.0,5937.0,9473,2450.0,176.0,110.0,226.0,48.0,126.0,111.0,568.0,342.0,227.0,120.0,742.0,199.0,213,553.0,287.0,79.0,57.0,4352.0,2289.0,42.0,1599.0,503.0,355.0,58.0,150.0,682.0
01044101,20929,100.0,10472.0,50.0,14261.0,68.1,10457.0,50.0,3804.0,18.2,6668.0,31.9,20929,1144.0,1371.0,412.0,2747.0,7045.0,2611.0,2513.0,3086.0,10093.0,6668.0,10472,805.0,1003.0,319.0,1350.0,3904.0,1389.0,948.0,754.0,4872.0,6668.0,10472,3433.0,238.0,191.0,354.0,96.0,104.0,132.0,927.0,580.0,181.0,206.0,907.0,214.0,276,505.0,215.0,95.0,19.0,4023.0,2186.0,77.0,1214.0,253.0,248.0,86.0,157.0,702.0
01044102,16616,100.0,7011.0,42.2,12454.0,75.0,9605.0,57.8,2849.0,17.1,4162.0,25.0,16616,970.0,1071.0,307.0,1717.0,4822.0,1942.0,2075.0,3712.0,8571.0,4162.0,7011,664.0,741.0,202.0,771.0,2499.0,857.0,662.0,615.0,3368.0,4162.0,7011,2191.0,151.0,101.0,160.0,53.0,71.0,59.0,812.0,336.0,88.0,100.0,608.0,143.0,116,382.0,162.0,58.0,29.0,2738.0,1429.0,50.0,852.0,175.0,213.0,58.0,37.0,610.0
01044103,8809,100.0,4756.0,54.0,5492.0,62.3,4053.0,46.0,1439.0,16.3,3317.0,37.7,8809,466.0,512.0,173.0,1380.0,3448.0,1088.0,962.0,780.0,4213.0,3317.0,4756,324.0,426.0,145.0,781.0,1811.0,615.0,373.0,281.0,2247.0,3317.0,4756,1585.0,130.0,85.0,171.0,49.0,83.0,48.0,282.0,309.0,142.0,65.0,239.0,46.0,39,294.0,131.0,59.0,31.0,1799.0,770.0,43.0,710.0,93.0,254.0,33.0,83.0,216.0
01044201,24103,100.0,16538.0,68.6,13543.0,56.2,7565.0,31.4,5978.0,24.8,10560.0,43.8,24103,1521.0,2148.0,667.0,3678.0,8499.0,2972.0,2215.0,2403.0,11340.0,10560.0,16538,1272.0,1965.0,610.0,2224.0,5593.0,2303.0,1414.0,1157.0,7720.0,10560.0,16538,4455.0,276.0,288.0,365.0,131.0,181.0,197.0,870.0,945.0,488.0,167.0,1187.0,407.0,364,722.0,286.0,144.0,48.0,7883.0,4358.0,70.0,2564.0,786.0,448.0,89.0,197.0,1127.0
01044202,17188,100.0,10170.0,59.2,10062.0,58.5,7018.0,40.8,3044.0,17.7,7126.0,41.5,17188,951.0,1043.0,331.0,3156.0,7112.0,1845.0,1528.0,1222.0,7919.0,7126.0,10170,680.0,866.0,273.0,2012.0,4044.0,1074.0,724.0,497.0,4573.0,7126.0,10170,3161.0,211.0,168.0,276.0,128.0,182.0,157.0,723.0,542.0,217.0,93.0,584.0,119.0,209,472.0,176.0,108.0,45.0,3768.0,1519.0,85.0,1480.0,355.0,303.0,90.0,156.0,533.0
