district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
2,4,5,1,1619,156.0,216.0,49.0,203.0,523.0,192.0,134.0,146.0,848.0,883.0
2,4,5,2,2458,240.0,239.0,60.0,313.0,1115.0,229.0,117.0,145.0,1213.0,1576.0
2,4,5,3,3282,356.0,233.0,50.0,409.0,1681.0,285.0,140.0,128.0,1622.0,2152.0
2,4,7,1,5991,564.0,516.0,152.0,1095.0,2479.0,549.0,335.0,301.0,2899.0,3941.0
2,4,7,2,3572,240.0,219.0,51.0,860.0,1699.0,262.0,133.0,108.0,1664.0,2540.0
2,4,7,3,804,87.0,92.0,22.0,144.0,366.0,37.0,37.0,19.0,363.0,706.0
2,5,6,1,3128,261.0,221.0,36.0,418.0,1766.0,217.0,155.0,54.0,1509.0,2211.0
2,5,6,2,7217,649.0,509.0,109.0,865.0,4035.0,601.0,249.0,200.0,3525.0,5038.0
2,5,8,1,7739,670.0,555.0,153.0,1084.0,4263.0,625.0,265.0,124.0,3730.0,5574.0
2,5,8,2,7541,554.0,402.0,68.0,1119.0,4522.0,528.0,234.0,114.0,3577.0,5526.0
2,5,8,3,2823,266.0,133.0,33.0,443.0,1597.0,205.0,81.0,65.0,1299.0,2017.0
2,5,8,4,1042,182.0,119.0,25.0,55.0,433.0,109.0,48.0,71.0,535.0,505.0
3,1,1,1,702,64.0,68.0,3.0,88.0,309.0,78.0,42.0,50.0,283.0,456.0
3,1,1,2,2834,379.0,350.0,85.0,508.0,967.0,234.0,130.0,181.0,1239.0,2187.0
3,1,1,4,45,0.0,9.0,3.0,6.0,24.0,0.0,3.0,0.0,18.0,27.0
3,2,2,3,138,6.0,24.0,7.0,16.0,40.0,16.0,10.0,19.0,53.0,62.0
3,2,2,9,2631,256.0,345.0,90.0,490.0,846.0,302.0,138.0,164.0,1371.0,1527.0
3,2,2,10,1807,238.0,267.0,56.0,179.0,602.0,208.0,104.0,153.0,926.0,1024.0
3,2,3,7,2485,287.0,387.0,98.0,186.0,696.0,329.0,216.0,286.0,1276.0,1048.0
3,3,4,5,2129,360.0,309.0,63.0,225.0,695.0,182.0,137.0,158.0,1031.0,1231.0
3,3,4,6,746,79.0,103.0,18.0,61.0,219.0,99.0,49.0,118.0,398.0,322.0
3,3,7,11,524,60.0,92.0,30.0,45.0,129.0,52.0,43.0,73.0,283.0,201.0
3,3,7,15,1666,223.0,240.0,64.0,275.0,519.0,164.0,82.0,99.0,721.0,1179.0
3,3,7,16,33,6.0,3.0,3.0,3.0,9.0,6.0,3.0,0.0,21.0,9.0
3,4,5,8,946,98.0,160.0,47.0,78.0,223.0,137.0,91.0,112.0,475.0,300.0
3,4,5,12,1908,232.0,259.0,66.0,226.0,630.0,229.0,121.0,145.0,963.0,951.0
3,4,5,13,563,66.0,95.0,21.0,73.0,161.0,66.0,35.0,46.0,257.0,271.0
3,4,6,14,6151,774.0,796.0,197.0,638.0,2349.0,646.0,315.0,436.0,3126.0,3395.0
