id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0110,01,10,100.0,18041.0,2120.0,801.0,2587.0,1206.0,1655.9999999999998,2418.0,1294.0,943.0,420.0,1927.0,1989.9999999999998,349.0,576.0,10523.0,4263.0,3459.0000000000005,441.0,13390.0,3677.0000000000005,935.0,5981.0,565.0,1688.0,2153.0,2966.0,1921.0
0120,01,20,100.0,13191.0,1193.0,694.0,1515.0,532.0,805.0000000000001,2978.0,1497.0,882.0,612.0,884.0,2839.0,548.0,940.0,5067.0,1713.0,1873.9999999999998,204.99999999999997,16728.0,6419.0,815.0,6814.0,1796.0,1617.0000000000002,397.0,922.0000000000001,2784.0
0130,01,30,100.0,11296.0,654.0,811.9999999999999,1108.0,345.0,578.0,2709.0,2026.0000000000002,964.0,571.0,545.0,3424.0,865.0,991.0,3696.0,1316.0,1264.0,316.0,24657.0,13588.0,306.0,7859.999999999999,2268.0,1786.0,246.0,604.0,3879.9999999999995
0140,01,40,100.0,16607.0,1156.0,1093.0,1566.0,484.99999999999994,772.0,3847.0,3377.0000000000005,1311.0,661.0,848.0,3920.0000000000005,1024.0,1136.0,3947.9999999999995,1245.0,1502.0,223.0,24543.0,12287.0,500.0,8215.0,2069.0,1859.0,483.0,754.0,3772.9999999999995
0210,02,10,100.0,4485.0,351.0,335.0,597.0,189.0,290.0,911.0,637.0,229.0,189.0,282.0,944.9999999999999,368.0,200.99999999999997,2483.0,625.0,1135.0,100.0,15216.0,9769.0,274.0,4112.0,1266.0,869.9999999999999,206.99999999999997,367.0,3402.0000000000005
0220,02,20,100.0,9705.0,1317.0,551.0,1737.0,587.0,849.0,1309.0,484.99999999999994,346.0,445.0,1095.0,1239.0,224.00000000000003,307.0,1798.9999999999998,539.0,781.0,71.0,8528.0,4788.0,339.0,2543.0,867.0,525.0,109.00000000000001,1502.0,1616.0
0230,02,30,100.0,6274.0,936.0,350.0,1091.0,418.0,600.0,643.0,438.99999999999994,170.0,155.0,824.0,641.0,181.0,149.0,955.0000000000001,269.0,399.0,46.0,11157.0,8744.0,202.0,1574.0,318.0,373.0,60.0,861.9999999999999,2075.0
0240,02,40,100.0,6059.0,627.0,213.0,883.0,285.0,583.0,921.0000000000001,459.99999999999994,335.0,159.0,480.99999999999994,961.0,196.0,238.0,3080.0,1128.0,952.9999999999999,208.0,4804.0,1111.0,243.00000000000003,2131.0,141.0,925.0,1952.0,594.0,691.0
0250,02,50,100.0,13482.0,1861.0,550.0,2305.0,712.0,1469.0,1798.9999999999998,597.0,612.0,249.00000000000003,1417.0,1344.0,374.0,388.0,3845.0000000000005,1428.0,1301.0,299.0,5243.0,1229.0,254.99999999999997,2373.0,160.0,917.0,1192.0,1605.9999999999998,807.0
0310,03,10,100.0,936.0,22.0,25.0,38.0,39.0,25.0,405.0,110.00000000000001,71.0,21.0,24.0,219.0,48.0,64.0,1299.0,294.0,272.0,52.0,1617.0000000000002,200.99999999999997,67.0,715.0,12.0,290.0,167.0,28.000000000000004,49.0
