id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01100101,01,10,01,01,3561,2282,2019,1279,740,1542,100.0,64.08312271833755,56.697556866048856,35.91687728166246,20.78067958438641,43.30244313395114
01100102,01,10,01,02,2002,1418,912,584,328,1090,100.0,70.82917082917083,45.55444555444556,29.170829170829172,16.383616383616385,54.44555444555444
01100103,01,10,01,03,5662,3472,3475,2190,1285,2187,100.0,61.32108795478629,61.37407276580713,38.67891204521371,22.695160720593428,38.625927234192865
01100104,01,10,01,04,5029,3363,2928,1666,1262,2101,100.0,66.87214157884272,58.22231059852854,33.127858421157285,25.094452177371245,41.77768940147146
01100205,01,10,02,05,3009,2046,1435,963,472,1574,100.0,67.99601196410767,47.69026254569624,32.00398803589232,15.686274509803921,52.30973745430375
01100206,01,10,02,06,1915,1072,1170,843,327,745,100.0,55.979112271540465,61.096605744125334,44.02088772845953,17.075718015665796,38.90339425587467
01100207,01,10,02,07,8801,4924,5500,3877,1623,3301,100.0,55.94818770594251,62.49289853425747,44.05181229405749,18.44108624019998,37.50710146574253
01100308,01,10,03,08,7384,3591,4837,3793,1044,2547,100.0,48.63217768147345,65.50650054171182,51.36782231852655,14.138678223185266,34.49349945828819
01100309,01,10,03,09,12559,5427,8979,7132,1847,3580,100.0,43.21203917509356,71.4945457440879,56.78796082490645,14.706584919181465,28.505454255912095
01100310,01,10,03,10,10332,5465,6362,4867,1495,3970,100.0,52.89392179636082,61.575687185443286,47.10607820363918,14.469608981804102,38.424312814556714
01100311,01,10,03,11,9649,4986,6353,4663,1690,3296,100.0,51.67374857498186,65.84101979479739,48.326251425018135,17.51476836977925,34.15898020520261
01100312,01,10,03,12,10213,5087,6799,5126,1673,3414,100.0,49.80906687555077,66.57201605796533,50.19093312444923,16.381082933516105,33.427983942034665
01100313,01,10,03,13,11160,5494,7378,5666,1712,3782,100.0,49.22939068100358,66.11111111111111,50.77060931899642,15.340501792114694,33.88888888888889
