id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0110,01,10,123698,7042,8539,2402,12856,46923,16538,13387,16011,60537,43601,100.0,5.692897217416611,6.903102717909748,1.9418260602434962,10.393054050995165,37.93351549742114,13.369658361493315,10.822325340749245,12.943620753771281,48.93935229348898,35.24794256980711
0120,01,20,90104,4805,6059,1882,11985,33379,10049,10215,11730,42977,31571,100.0,5.33272662700879,6.724451744650627,2.0886975051052117,13.301296279854391,37.04497025659238,11.15266802805647,11.336899582704431,13.018289976027702,47.69710556690047,35.03840007102904
0130,01,30,78702,5042,7604,2432,11025,26098,9367,8088,9046,38225,30454,100.0,6.4064445630352465,9.66176208990877,3.0901374806231097,14.008538537775406,33.16052959264059,11.901857640212448,10.276740108256462,11.493989987547966,48.56928667632335,38.695331757769814
0140,01,40,103095,5815,7236,2328,13962,37249,11527,11494,13484,49816,39364,100.0,5.640428730782288,7.0187690964644265,2.258111450603812,13.54284882875018,36.130753188806445,11.180949609583395,11.148940297783598,13.07919879722586,48.32048110965614,38.18225908142975
0210,02,10,41457,2425,3815,1384,5341,13144,5466,4826,5056,20498,15532,100.0,5.849434353667656,9.202306003811177,3.3383988228767154,12.883228405335649,31.705140265817594,13.184745640060786,11.640977398268085,12.195769110162336,49.44400221916685,37.46532551800661
0220,02,20,64846,3599,4738,1409,6313,23157,8990,8906,7734,32219,17739,100.0,5.550072479412763,7.306541652530611,2.1728402677111927,9.735373037658453,35.71076087962249,13.863615334793202,13.734077660919716,11.926718687351572,49.68540850630725,27.355580914782717
0230,02,30,46616,2265,3266,1063,4681,17065,7105,6073,5098,22371,15635,100.0,4.858846747897718,7.006178136262227,2.2803329328985757,10.041616612321949,36.60760253990046,15.24154796636348,13.027715805731937,10.936159258623649,47.98996052857388,33.539986270808306
0240,02,40,52132,3106,3466,976,5481,20123,5923,5066,7991,25939,14524,100.0,5.957952888820686,6.648507634466355,1.8721706437504795,10.513696002455305,38.60009207396609,11.361543773498044,9.717639837335994,15.32839714570705,49.75638763139722,27.860047571549146
0250,02,50,88180,5615,6150,1447,8234,43773,11633,6576,4752,42288,24514,100.0,6.367657065094126,6.974370605579497,1.6409616693127693,9.337718303470174,49.64050805171241,13.192333862553868,7.457473349965979,5.388977092311182,47.95645271036516,27.799954638239967
0310,03,10,17703,1256,1708,433,1653,4720,1935,2108,3890,8922,3505,100.0,7.0948426820312935,9.648082245947014,2.4459131220697055,9.337400440603288,26.662147658588943,10.930350788002034,11.907586284810485,21.97367677794724,50.39823758684968,19.79890414054115
