id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,395599,22704,29438,9044,49828,143649,47481,43184,50271,191555,144990,100.0,5.739144942226851,7.441373714291492,2.2861534028144663,12.595582900866786,36.31177025219983,12.002305364775948,10.9161044390911,12.707564983733526,48.42150763778473,36.65074987550525
02,02,293231,17010,21435,6279,30050,117262,39117,31447,30631,143315,87944,100.0,5.8008873550204445,7.309936534677439,2.1413152088285345,10.247893299139585,39.98963274687874,13.339994748167827,10.724309503429037,10.446030603858391,48.874436877410645,29.99137199000106
03,03,420768,25203,38047,11094,36124,132466,62652,53038,62144,214757,75586,100.0,5.989761578827287,9.042275077952697,2.6366073465662785,8.585253631454863,31.481956802798695,14.889915582934062,12.605046011103507,14.769183968362611,51.03929006008061,17.963818541333943
04,04,341155,16615,23266,7452,34130,91186,41893,47960,78653,176968,89194,100.0,4.870220281103897,6.819774003019155,2.1843443596019405,10.00425026747373,26.728613093755037,12.279755536339787,14.058126071726928,23.054916386979528,51.87319546833551,26.144714279433103
05,05,254175,15764,23510,7280,25396,63000,30314,35661,53250,129677,62462,100.0,6.202026163076621,9.249532802203206,2.8641683879217075,9.991541260942265,24.78607258778401,11.926428641683879,14.030097373856595,20.950132782531718,51.01878626930264,24.574407396478804
06,06,311040,15319,25703,8367,29240,67565,39316,46422,79108,164313,53413,100.0,4.925090020576132,8.263567386831276,2.690007716049383,9.400720164609053,21.722286522633745,12.64017489711934,14.924768518518519,25.433384773662553,52.82696759259259,17.172389403292183
07,07,353913,19951,27399,8495,34421,94857,43730,50686,74374,180865,78430,100.0,5.637261134798665,7.7417331378050545,2.400307420185187,9.725836575655599,26.802349730018392,12.356144024096318,14.321598811007224,21.01476916643356,51.104367457539,22.160813533269476
08,08,329476,19082,26583,8259,31742,105323,39682,41367,57438,165234,90960,100.0,5.7916206339763745,8.068265973849385,2.506707620585414,9.634085639014678,31.966820041520478,12.043972853864924,12.555390984472314,17.433136252716437,50.150542072867225,27.607473685488472
09,09,289180,17518,23370,6462,26120,81916,33936,39913,59945,147047,42857,100.0,6.057818659658344,8.081471747700395,2.2345943702884017,9.032436544712635,28.32699356801992,11.735251400511792,13.802130161145307,20.729303547963205,50.84964382045784,14.820181202019503
10,10,285678,17867,26805,7685,24501,73071,30805,43607,61337,143864,46957,100.0,6.254244289024706,9.382941633587466,2.6900916416384884,8.576439207779387,25.578098418499152,10.783119456170933,15.264388577349322,21.470676775950544,50.35879556703702,16.437037503762976
11,11,308286,20234,26380,7237,30002,95695,33112,37337,58289,154899,69822,100.0,6.56338594681562,8.556989289166554,2.347495507418436,9.731872352296245,31.040981426337883,10.740675865916714,12.11115652348793,18.907443088560623,50.24522683482221,22.648449816079875
12,12,268308,15379,23275,7379,26429,62575,32184,39050,62037,136267,57529,100.0,5.731845491002877,8.674732024389881,2.75019753417714,9.850246731368427,23.322077612296315,11.995169730309941,14.55416908925563,23.121561787199784,50.7875277665966,21.441403163528484
