id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
08401139,08,40,11,39,100.0,353.0,0.0,12.0,42.0,31.0,3.0,128.0,63.0,22.0,33.0,17.0,173.0,25.0,59.0,69.0,13.0,19.0,15.0,731.0,503.0,6.0,169.0,68.0,31.0,12.0,3.0,171.0
08401140,08,40,11,40,100.0,292.0,3.0,11.0,44.0,19.0,3.0,113.99999999999999,21.0,47.0,16.0,15.0,71.0,3.0,43.0,46.0,15.0,18.0,3.0,426.0,290.0,7.000000000000001,102.0,39.0,22.0,0.0,6.0,128.0
08401241,08,40,12,41,100.0,613.0,28.000000000000004,30.0,32.0,39.0,6.0,252.99999999999997,28.000000000000004,73.0,52.0,22.0,494.00000000000006,48.0,266.0,184.0,39.0,87.0,15.0,1347.0,866.0,40.0,354.0,77.0,135.0,28.000000000000004,16.0,462.0
08401242,08,40,12,42,100.0,519.0,21.0,18.0,30.0,22.0,6.0,282.0,22.0,22.0,42.0,14.000000000000002,220.00000000000003,21.0,113.99999999999999,98.0,18.0,43.0,15.0,742.0,423.00000000000006,38.0,217.0,54.0,41.0,41.0,18.0,233.0
08401243,08,40,12,43,100.0,925.0,12.0,18.0,125.0,28.999999999999996,13.0,376.0,112.00000000000001,70.0,86.0,19.0,411.00000000000006,62.0,173.0,250.0,59.0,129.0,28.000000000000004,1243.0,645.0,24.0,432.0,106.0,122.0,38.0,32.0,325.0
08401244,08,40,12,44,100.0,463.0,21.0,9.0,28.000000000000004,28.999999999999996,3.0,265.0,18.0,6.0,19.0,7.000000000000001,174.0,22.0,90.0,131.0,27.0,69.0,6.0,836.0,519.0,49.0,222.00000000000003,88.0,49.0,31.0,6.0,269.0
08401245,08,40,12,45,100.0,309.0,7.000000000000001,18.0,6.0,12.0,3.0,174.0,15.0,14.000000000000002,32.0,9.0,117.0,10.0,50.0,75.0,31.0,25.0,13.0,463.99999999999994,272.0,0.0,134.0,37.0,39.0,16.0,3.0,204.99999999999997
08401246,08,40,12,46,100.0,594.0,25.0,14.000000000000002,43.0,22.0,22.0,333.0,19.0,21.0,33.0,9.0,260.0,27.0,131.0,135.0,32.0,60.0,6.0,900.0,514.0,13.0,292.0,66.0,78.0,24.0,21.0,236.0
09100101,09,10,01,01,100.0,1621.0,179.0,62.0,250.0,122.0,156.0,289.0,80.0,92.0,36.0,158.0,239.0,53.0,73.0,482.0,172.0,149.0,31.0,1195.0,488.0,49.0,447.0,108.0,107.0,141.0,180.0,196.0
09100202,09,10,02,02,100.0,432.0,40.0,18.0,66.0,30.0,21.0,84.0,20.0,10.0,15.0,31.0,56.99999999999999,3.0,24.0,136.0,28.999999999999996,72.0,22.0,167.0,53.0,6.0,42.0,3.0,4.0,11.0,41.0,14.000000000000002
09100203,09,10,02,03,100.0,540.0,46.0,11.0,54.0,21.0,31.0,153.0,54.0,35.0,19.0,30.0,89.0,18.0,14.000000000000002,183.0,76.0,52.0,6.0,496.0,103.0,26.0,256.0,39.0,74.0,37.0,35.0,73.0
09100304,09,10,03,04,100.0,768.0,60.0,18.0,76.0,27.0,56.00000000000001,175.0,59.0,73.0,28.000000000000004,56.99999999999999,198.0,65.0,52.0,306.0,78.0,124.0,16.0,579.0,139.0,30.0,283.0,51.0,97.0,132.0,48.0,132.0
09100305,09,10,03,05,100.0,408.0,33.0,20.0,61.0,20.0,28.000000000000004,107.0,31.0,37.0,13.0,28.999999999999996,47.0,9.0,3.0,154.0,46.0,74.0,6.0,229.0,60.0,21.0,89.0,21.0,26.0,36.0,22.0,47.0
09100306,09,10,03,06,100.0,168.0,22.0,3.0,17.0,15.0,3.0,59.0,12.0,18.0,0.0,3.0,146.0,56.99999999999999,54.0,83.0,13.0,33.0,9.0,540.0,218.00000000000003,4.0,202.99999999999997,28.000000000000004,86.0,3.0,3.0,112.00000000000001
09100407,09,10,04,07,100.0,471.0,39.0,3.0,50.0,17.0,13.0,128.0,61.0,46.0,15.0,15.0,104.0,9.0,43.0,242.0,85.0,56.99999999999999,26.0,412.0,110.00000000000001,6.0,168.0,6.0,73.0,37.0,15.0,31.0
09100408,09,10,04,08,100.0,560.0,18.0,16.0,49.0,15.0,16.0,178.0,45.0,68.0,15.0,15.0,121.0,21.0,53.0,313.0,99.0,98.0,19.0,516.0,128.0,18.0,206.0,37.0,61.0,27.0,21.0,65.0
09100409,09,10,04,09,100.0,335.0,15.0,13.0,22.0,12.0,9.0,164.0,10.0,38.0,19.0,14.000000000000002,102.0,18.0,36.0,130.0,43.0,37.0,17.0,363.0,167.0,21.0,120.0,39.0,31.0,9.0,6.0,100.0
09200510,09,20,05,10,100.0,955.0000000000001,36.0,22.0,68.0,23.0,52.0,202.99999999999997,126.0,186.0,49.0,25.0,312.0,57.99999999999999,98.0,509.0,195.0,143.0,44.0,836.0,176.0,40.0,375.0,42.0,144.0,103.0,34.0,61.0
09200511,09,20,05,11,100.0,1185.0,31.0,31.0,104.0,30.0,65.0,293.0,126.0,266.0,33.0,48.0,296.0,44.0,93.0,507.0,164.0,167.0,68.0,1089.0,160.0,63.0,544.0,28.999999999999996,208.0,294.0,33.0,73.0
09200512,09,20,05,12,100.0,320.0,13.0,4.0,31.0,22.0,18.0,88.0,31.0,56.00000000000001,4.0,25.0,49.0,24.0,6.0,225.0,75.0,67.0,24.0,366.0,74.0,18.0,129.0,12.0,62.0,25.0,30.0,34.0
09200613,09,20,06,13,100.0,1234.0,36.0,48.0,121.0,51.0,76.0,309.0,177.0,189.0,34.0,59.0,270.0,56.99999999999999,118.0,600.0,181.0,233.0,42.0,1145.0,184.0,50.0,565.0,30.0,269.0,151.0,50.0,90.0
09200614,09,20,06,14,100.0,176.0,9.0,3.0,0.0,12.0,3.0,66.0,13.0,31.0,9.0,9.0,51.0,12.0,21.0,100.0,42.0,28.000000000000004,8.0,147.0,27.0,3.0,64.0,3.0,22.0,0.0,12.0,19.0
09200715,09,20,07,15,100.0,408.0,27.0,21.0,41.0,13.0,25.0,102.0,25.0,69.0,8.0,30.0,131.0,44.0,52.0,292.0,114.99999999999999,97.0,19.0,401.0,92.0,19.0,173.0,17.0,44.0,16.0,18.0,63.0
09200716,09,20,07,16,100.0,590.0,38.0,12.0,42.0,12.0,26.0,110.00000000000001,52.0,92.0,12.0,40.0,121.0,31.0,45.0,393.0,94.0,123.0,27.0,726.0,96.0,25.0,355.0,12.0,148.0,45.0,34.0,48.0
09200717,09,20,07,17,100.0,721.0,16.0,22.0,82.0,12.0,30.0,206.0,85.0,108.0,13.0,21.0,140.0,33.0,56.00000000000001,403.0,146.0,166.0,28.000000000000004,693.0,106.0,47.0,370.0,21.0,175.0,102.0,15.0,40.0
09200818,09,20,08,18,100.0,286.0,13.0,0.0,28.000000000000004,21.0,12.0,113.99999999999999,18.0,20.0,13.0,10.0,37.0,6.0,6.0,227.99999999999997,132.0,62.0,18.0,167.0,21.0,15.0,60.0,0.0,28.000000000000004,0.0,16.0,11.0
09200819,09,20,08,19,100.0,823.0,19.0,46.0,33.0,16.0,20.0,351.0,107.0,89.0,37.0,18.0,131.0,26.0,43.0,323.0,128.0,104.0,28.000000000000004,706.0,89.0,21.0,413.99999999999994,28.000000000000004,206.0,43.0,24.0,59.0
09300920,09,30,09,20,100.0,784.0,25.0,22.0,72.0,25.0,15.0,337.0,50.0,85.0,42.0,22.0,240.0,44.0,53.0,401.99999999999994,119.0,111.00000000000001,104.0,944.9999999999999,300.0,30.0,322.0,28.999999999999996,85.0,21.0,24.0,157.0
09300921,09,30,09,21,100.0,133.0,10.0,6.0,15.0,4.0,7.000000000000001,45.0,0.0,18.0,3.0,15.0,34.0,0.0,18.0,68.0,24.0,19.0,13.0,82.0,31.0,6.0,17.0,0.0,11.0,9.0,6.0,44.0
09300922,09,30,09,22,100.0,350.0,13.0,16.0,6.0,0.0,12.0,166.0,36.0,38.0,17.0,3.0,139.0,23.0,55.00000000000001,225.0,61.0,45.0,47.0,646.0,121.0,12.0,375.0,56.99999999999999,183.0,30.0,7.000000000000001,36.0
09300923,09,30,09,23,100.0,369.0,12.0,12.0,15.0,8.0,6.0,197.0,21.0,28.999999999999996,25.0,0.0,168.0,31.0,73.0,517.0,179.0,65.0,138.0,1005.0000000000001,204.99999999999997,21.0,470.0,87.0,179.0,36.0,0.0,99.0
09301024,09,30,10,24,100.0,229.0,3.0,3.0,20.0,9.0,3.0,72.0,37.0,41.0,9.0,25.0,39.0,9.0,9.0,202.0,56.00000000000001,96.0,15.0,279.0,65.0,6.0,154.0,0.0,80.0,23.0,6.0,54.0
09301025,09,30,10,25,100.0,558.0,6.0,18.0,34.0,7.000000000000001,25.0,260.0,52.0,32.0,6.0,17.0,186.0,57.99999999999999,46.0,559.0,79.0,150.0,46.0,788.0,254.0,64.0,256.0,21.0,97.0,51.0,13.0,85.0
09301126,09,30,11,26,100.0,536.0,10.0,15.0,32.0,24.0,18.0,171.0,84.0,76.0,9.0,28.000000000000004,73.0,7.000000000000001,21.0,396.0,109.00000000000001,126.0,38.0,360.0,54.0,34.0,151.0,12.0,80.0,20.0,35.0,40.0
09301227,09,30,12,27,100.0,85.0,6.0,0.0,3.0,0.0,0.0,42.0,12.0,0.0,0.0,13.0,6.0,0.0,3.0,69.0,12.0,43.0,0.0,16.0,3.0,0.0,9.0,0.0,0.0,3.0,13.0,3.0
09301228,09,30,12,28,100.0,113.99999999999999,0.0,7.000000000000001,6.0,3.0,0.0,45.0,10.0,18.0,0.0,9.0,18.0,3.0,3.0,144.0,49.0,53.0,30.0,53.0,3.0,4.0,9.0,0.0,0.0,0.0,6.0,13.0
09401329,09,40,13,29,100.0,384.0,26.0,12.0,12.0,15.0,15.0,142.0,24.0,31.0,15.0,15.0,27.0,0.0,6.0,259.0,39.0,158.0,18.0,234.0,26.0,7.000000000000001,109.00000000000001,9.0,56.00000000000001,12.0,15.0,9.0
09401330,09,40,13,30,100.0,96.0,6.0,3.0,15.0,6.0,3.0,31.0,3.0,6.0,0.0,16.0,4.0,0.0,0.0,67.0,15.0,37.0,6.0,28.000000000000004,0.0,3.0,19.0,0.0,13.0,0.0,10.0,3.0
09401431,09,40,14,31,100.0,200.99999999999997,3.0,22.0,9.0,7.000000000000001,3.0,63.0,13.0,19.0,7.000000000000001,6.0,35.0,4.0,12.0,233.0,71.0,50.0,30.0,565.0,26.0,19.0,241.0,12.0,104.0,15.0,0.0,32.0
09401432,09,40,14,32,100.0,69.0,3.0,3.0,6.0,0.0,3.0,27.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,83.0,28.999999999999996,6.0,26.0,147.0,24.0,8.0,68.0,0.0,49.0,0.0,7.000000000000001,3.0
09401433,09,40,14,33,100.0,165.0,3.0,3.0,6.0,3.0,0.0,79.0,19.0,12.0,3.0,15.0,12.0,3.0,6.0,509.99999999999994,55.00000000000001,375.0,28.000000000000004,229.99999999999997,12.0,16.0,103.0,6.0,31.0,27.0,0.0,11.0
09401534,09,40,15,34,100.0,561.0,12.0,31.0,34.0,15.0,16.0,130.0,98.0,104.0,9.0,11.0,112.99999999999999,30.0,36.0,453.0,107.0,197.0,40.0,479.0,39.0,9.0,254.99999999999997,9.0,140.0,67.0,30.0,44.0
09401635,09,40,16,35,100.0,260.0,3.0,3.0,18.0,9.0,3.0,142.0,16.0,15.0,3.0,8.0,22.0,0.0,13.0,233.0,67.0,71.0,42.0,121.0,7.000000000000001,3.0,28.000000000000004,0.0,12.0,21.0,3.0,12.0
09501736,09,50,17,36,100.0,166.0,10.0,4.0,6.0,9.0,22.0,62.0,9.0,13.0,3.0,12.0,28.000000000000004,9.0,9.0,117.0,40.0,39.0,0.0,172.0,9.0,9.0,88.0,3.0,53.0,19.0,3.0,8.0
09501737,09,50,17,37,100.0,556.0,34.0,13.0,32.0,25.0,10.0,220.00000000000003,37.0,26.0,9.0,31.0,73.0,9.0,24.0,318.0,88.0,161.0,23.0,288.0,22.0,27.0,128.0,9.0,64.0,24.0,40.0,39.0
09501838,09,50,18,38,100.0,480.99999999999994,25.0,7.000000000000001,27.0,28.999999999999996,18.0,193.0,19.0,24.0,0.0,37.0,49.0,12.0,9.0,494.00000000000006,134.0,183.0,26.0,282.0,68.0,11.0,97.0,3.0,40.0,19.0,24.0,14.000000000000002
09501939,09,50,19,39,100.0,528.0,3.0,3.0,40.0,19.0,24.0,150.0,52.0,128.0,15.0,15.0,55.00000000000001,15.0,19.0,285.0,113.99999999999999,92.0,41.0,354.0,50.0,28.999999999999996,149.0,7.000000000000001,72.0,35.0,14.000000000000002,6.0
09501940,09,50,19,40,100.0,229.99999999999997,10.0,12.0,40.0,15.0,12.0,28.000000000000004,33.0,37.0,3.0,6.0,22.0,0.0,13.0,95.0,37.0,28.000000000000004,3.0,105.0,3.0,0.0,57.99999999999999,0.0,25.0,10.0,6.0,9.0
09501941,09,50,19,41,100.0,141.0,3.0,9.0,6.0,3.0,6.0,64.0,12.0,6.0,0.0,19.0,13.0,3.0,10.0,132.0,43.0,51.0,3.0,97.0,15.0,4.0,45.0,3.0,21.0,6.0,12.0,3.0
09502042,09,50,20,42,100.0,191.0,18.0,4.0,12.0,3.0,9.0,31.0,15.0,28.999999999999996,3.0,10.0,37.0,7.000000000000001,15.0,135.0,33.0,61.0,3.0,100.0,13.0,3.0,39.0,0.0,9.0,7.000000000000001,3.0,7.000000000000001
