id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
011001,01,10,01,100.0,665.0,886.0,249.00000000000003,1462.0,4156.0,1245.0,926.0,946.0000000000001,5078.0,6920.0
011002,01,10,02,100.0,603.0,674.0,197.0,932.0,3520.0000000000005,899.0,595.0,622.0,3985.0,5620.0
011003,01,10,03,100.0,2336.0,2612.0,696.0,3925.0,13861.000000000002,3247.9999999999995,1889.9999999999998,1482.0,14711.000000000002,20589.0
011004,01,10,04,100.0,1295.0,1516.0,366.0,1503.0,7450.0,1778.0,690.0,444.00000000000006,7584.0,10472.0
012005,01,20,05,100.0,1597.0,2289.0,766.0,3438.0000000000005,9427.0,2989.0,2248.0,2148.0,11574.0,16410.0
012006,01,20,06,100.0,1762.0,2195.0,698.0,3068.0,9874.0,2757.0,1867.0000000000002,1938.0,11605.0,15161.000000000002
013007,01,30,07,100.0,1957.0,3153.0,1032.0,3222.0,8360.0,3213.0000000000005,2157.0,1842.0000000000002,11837.0,16015.0
013008,01,30,08,100.0,2111.0,3428.0,1137.0,3413.0000000000005,8413.0,3363.0000000000005,2369.0,2221.0,12969.0,14438.999999999998
014009,01,40,09,100.0,1857.0,2280.0,712.0,2891.0,8893.0,2961.0,2177.0,1954.0,11387.0,14951.0
014010,01,40,10,100.0,2486.0,3635.0,1253.0,5484.0,13178.0,4660.0,3421.0,2861.0,17234.0,24413.0
021001,02,10,01,100.0,2086.0,3418.0,1276.0,3198.0,9398.0,4148.0,2996.0,2545.0,14378.0,15532.0
022002,02,20,02,100.0,2014.9999999999998,2614.0,848.0,3173.0,11792.0,3982.0,2627.0,2397.0,14461.000000000002,17739.0
023003,02,30,03,100.0,629.0,998.0,408.0,1141.0,4017.0,1792.0000000000002,1288.0,1275.0,5539.0,6893.000000000001
023004,02,30,04,100.0,776.0,1098.0,388.0,1424.0,5795.0,2037.0,1171.0,1227.0,6662.0,8742.0
024005,02,40,05,100.0,933.0,902.9999999999999,263.0,983.0,4349.0,908.0,480.99999999999994,482.0,4689.0,5894.0
024006,02,40,06,100.0,1007.0,950.0,306.0,2152.0,5669.0,1034.0,626.0,557.0,5873.0,8630.0
025007,02,50,07,100.0,986.9999999999999,969.0,229.0,1239.0,6798.999999999999,1084.0,470.0,316.0,5970.0,8366.0
025008,02,50,08,100.0,1921.0,1581.0,364.0,2619.0,13068.0,1941.0,836.0,512.0,10978.0,16147.999999999998
031001,03,10,01,100.0,548.0,607.0,155.0,668.0,1595.0,473.00000000000006,254.99999999999997,259.0,2086.0,3504.9999999999995
032002,03,20,02,100.0,649.0,846.0000000000001,224.00000000000003,977.9999999999999,2000.0,644.0,364.0,409.99999999999994,3072.0,3865.0
032003,03,20,03,100.0,356.0,492.0,170.0,254.99999999999997,1045.0,413.99999999999994,250.0,307.0,1689.0,1662.0
033004,03,30,04,100.0,500.0,659.0,151.0,403.0,1142.0,423.00000000000006,224.00000000000003,316.0,1957.9999999999998,2289.0
033005,03,30,05,100.0,397.0,490.00000000000006,129.0,379.0,1154.0,257.0,154.0,182.0,1547.0,2132.0
034006,03,40,06,100.0,423.00000000000006,626.0,181.0,409.99999999999994,1310.0,552.0,326.0,341.0,2130.0,2052.0
034007,03,40,07,100.0,923.0,1083.0,258.0,742.0,3052.0,825.0,361.0,471.0,3986.0,4469.0
034008,03,40,08,100.0,919.0,901.0,220.00000000000003,1023.0,4149.0,792.0,449.0,411.00000000000006,4490.0,5996.0
035009,03,50,09,100.0,1197.0,1226.0,369.0,1200.0,4931.0,1040.0,546.0,401.99999999999994,5400.0,7641.0
