id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16543.0,21512.0,6650.0,26652.0,80500.0,25708.999999999996,17014.0,13941.999999999998,99437.0,132503.0
02,02,100.0,10260.0,11997.0,3719.0,14829.0,56541.99999999999,15727.000000000002,9783.0,8013.0,63199.0,81117.0
03,03,100.0,10426.0,11233.0,2664.0,10098.0,42916.0,10998.0,5106.0,3142.0,47973.0,61963.0
04,04,100.0,10335.0,14007.0,4194.0,14979.0,47628.0,20941.0,16084.0,16258.000000000002,71966.0,85100.0
05,05,100.0,9437.0,13191.999999999998,3954.0,9816.0,28902.0,12751.0,9310.0,8211.0,47003.0,52778.0
06,06,100.0,7348.0,11201.0,3272.9999999999995,9440.0,25658.999999999996,12324.0,9431.0,9429.0,44795.0,46440.0
07,07,100.0,11459.0,15169.0,4678.0,13347.0,43217.0,18450.0,13851.0,13266.0,65954.0,71695.0
08,08,100.0,13090.0,18617.0,5863.0,15919.0,55617.99999999999,20235.0,14427.000000000002,11944.0,75405.0,85542.0
09,09,100.0,5861.0,5855.0,1556.0,6469.0,19439.0,5269.0,3022.0,1992.0000000000002,23799.0,31525.0
10,10,100.0,7219.0,8575.0,2336.0,7126.000000000001,20008.0,6627.0,4684.0,3718.0,29227.0,36009.0
11,11,100.0,9685.0,10292.0,2725.0,12041.0,32308.0,8368.0,5737.0,3402.0000000000005,40350.0,56632.00000000001
12,12,100.0,9267.0,12884.0,3934.0000000000005,10445.0,28895.0,12637.0,8980.0,7572.0,45748.0,52379.0
