id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,384172,23440,27832,8074,50134,136506,49311,39688,49187,184984,131466,100.0,6.10143373280718,7.244671657486751,2.101662796872234,13.049883906167029,35.53252189123622,12.835656945326573,10.330789333944171,12.803379736159846,48.15134887498308,34.220609518653106
02,02,289762,18518,20246,5639,30910,118665,38498,28137,29149,140835,79383,100.0,6.3907620737018656,6.987113562164811,1.9460798862514752,10.66737529420697,40.95257487179133,13.286076159054671,9.710383003982578,10.059635148846295,48.6036816421753,27.395931833711806
03,03,407765,27632,35281,9069,32468,133308,64906,44310,60791,207461,57166,100.0,6.776452123159173,8.652287469498363,2.224075141319142,7.962429340428924,32.69235956985028,15.917501502090664,10.866553039127929,14.908341814525523,50.877588807278705,14.019349380157689
04,04,342332,16460,21474,6877,33792,87873,48419,47235,80202,176208,86573,100.0,4.808197889767827,6.272857927392122,2.0088685837140554,9.871119264339882,25.668941261699167,14.143872030660296,13.798008950375658,23.428134092050993,51.472839232090486,25.28919294719746
05,05,243977,15098,20992,6673,24644,57307,33181,32702,53380,124532,48944,100.0,6.188288240284945,8.60408972976961,2.7350938818003336,10.100952138931127,23.488689507617522,13.600052463961768,13.403722482037242,21.879111555597454,51.04251630276625,20.060907380613745
06,06,308697,15810,24347,8059,28622,64896,44784,42678,79501,162494,46095,100.0,5.121526934178175,7.887021901735358,2.6106505732158074,9.271875010123196,21.022556098698725,14.507429615448158,13.825207242052887,25.7537326245477,52.638671577631136,14.932117902020428
07,07,351644,19888,25464,8252,34800,91595,49772,47944,73929,179267,71934,100.0,5.65571998953487,7.24141461250583,2.3466915403078112,9.896372467609286,26.047650464674497,14.154087656834754,13.634243723766081,21.023819544766866,50.979683998589486,20.456484398994437
08,08,329691,20333,25451,7849,33793,103251,42415,38728,57871,165268,84243,100.0,6.167289977585072,7.719652644445859,2.3807140625616108,10.249900664561665,31.3175063923492,12.86507669302468,11.74675681168124,17.553102753790668,50.12815029830963,25.552107882835745
09,09,271153,16743,19929,5748,22446,73960,36990,35555,59782,138192,26226,100.0,6.174742672955859,7.349725062971828,2.119836402326362,8.277983278813068,27.27611348574421,13.641744697643027,13.112523188015624,22.04733121153002,50.96458457033483,9.672030182221846
10,10,268548,17035,23476,6424,20969,67925,32946,44893,54880,135408,28757,100.0,6.343372506963374,8.741826414644683,2.3921235682261646,7.808287531465511,25.29342985239138,12.268197864068993,16.71693700939869,20.435825252841205,50.422270878949014,10.708327747739697
11,11,291452,19455,22562,6108,27348,88129,33956,36917,56977,146712,49323,100.0,6.675198660499842,7.7412404100846794,2.09571387398268,9.383363298244651,30.237912246270398,11.650632008015043,12.666579745549866,19.549359757352843,50.33830613617337,16.92319833111456
12,12,265225,15741,21931,7276,25777,59054,36742,36141,62563,134668,48440,100.0,5.93496088226977,8.268828353284947,2.7433311339428785,9.718917899896315,22.265623527193892,13.853143557356962,13.626543500801205,23.58865114525403,50.77500235648977,18.263738335375624
