id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16594.0,21185.0,6142.0,28843.0,77606.0,25148.0,15678.0,14199.0,97526.0,131466.0
02,02,100.0,10015.0,11774.0,3631.0,16608.0,53771.0,15053.0,8750.0,8415.0,61783.00000000001,79383.0
03,03,100.0,9819.0,9974.0,2282.0,10665.0,38972.0,9577.0,4330.0,4478.0,44574.0,57166.0
04,04,100.0,10205.0,13505.000000000002,3913.0000000000005,15812.0,46906.0,20610.0,15666.0,18022.0,72057.0,86573.0
05,05,100.0,8977.0,12317.0,3642.0,10003.0,26945.0,12062.0,8583.0,8059.0,44472.0,48944.0
06,06,100.0,7211.0,10706.0,3125.0,10187.0,24955.0,11957.0,8919.0,9856.0,44154.0,46095.0
07,07,100.0,11214.0,14718.0,4506.0,14730.000000000002,42533.0,18191.0,13144.999999999998,13513.999999999998,65216.99999999999,71934.0
08,08,100.0,13519.0,18359.0,5559.0,17281.0,53712.0,19688.0,12997.0,12036.0,74012.0,84243.0
09,09,100.0,4956.0,4891.0,1330.0,6153.0,15644.0,4492.0,2529.0,3383.0,20869.0,26226.0
10,10,100.0,6086.0,7386.0,1939.9999999999998,6444.0,16596.0,5520.0,4377.0,4793.0,25995.999999999996,28757.0
11,11,100.0,8499.0,9133.0,2414.0,12254.0,27174.0,7459.0,5226.0,4617.0,36618.0,49323.0
12,12,100.0,9094.0,12243.0,3729.0,10294.0,26818.0,12044.0,8196.0,7480.0,43682.0,48440.0
