id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0101,01,01,116793,7017,7530,1927,11922,44262,16641,11761,15733,56856,36789,100.0,6.008065551873828,6.447304204875293,1.649927649773531,10.207803549870283,37.897819218617556,14.248285428065039,10.069952822515047,13.470841574409425,48.68099971744882,31.499319308520203
0102,01,02,85298,4767,5616,1661,12114,29724,10670,9577,11169,40820,27206,100.0,5.588642172149406,6.583976177636053,1.947290675045136,14.201974254964947,34.84724143590706,12.509085793336302,11.227695842809913,13.094093648151187,47.85575277263242,31.895237871931347
0103,01,03,78312,5589,7485,2248,11186,25986,9442,7478,8898,37710,29433,100.0,7.136837266319337,9.557922157523752,2.8705690060271736,14.283890080702829,33.18265399938707,12.056900602717334,9.548983552967618,11.362243334354888,48.153539687404226,37.58427827152927
0104,01,04,103769,6067,7201,2238,14912,36534,12558,10872,13387,49598,38038,100.0,5.846640133373166,6.939452052154305,2.1567134693405547,14.370380364077903,35.20704642041457,12.101880137613353,10.477117443552505,12.900769979473639,47.79654810203432,36.65641954726364
0201,02,01,40724,2625,4017,1312,5417,12473,5572,4303,5005,19878,14569,100.0,6.445830468519792,9.863962282683431,3.221687457027797,13.301738532560654,30.628130831941853,13.682349474511343,10.566250859444063,12.29005009331107,48.81151163932816,35.77497298890089
0202,02,02,65635,4138,4620,1313,6635,24194,9566,8247,6922,32291,17322,100.0,6.304563114192123,7.038927401538814,2.000457073207892,10.108935781214292,36.8614306391407,14.574541022320409,12.564942484954674,10.546202483431097,49.197836520149316,26.391407023691627
0203,02,03,48503,2698,3380,1090,5028,18715,7279,5581,4732,23267,16261,100.0,5.562542523142898,6.968641114982578,2.247283673174855,10.366369090571718,38.58524214997011,15.007319134898871,11.506504752283364,9.75609756097561,47.970228645650785,33.52576129311589
0204,02,04,49606,3033,3036,745,5098,19036,5736,4698,8224,24825,11105,100.0,6.114179736322219,6.12022739184776,1.5018344555094143,10.27698262306979,38.37439019473451,11.563117364834898,9.470628552997622,16.57863968068379,50.04434947385397,22.386404870378584
0205,02,05,85294,6024,5193,1179,8732,44247,10345,5308,4266,40574,20126,100.0,7.062630431214388,6.088353225314794,1.3822777686589913,10.237531362112223,51.875864656365046,12.128637418810232,6.223180997491031,5.001524140033296,47.569582854597044,23.596032546251788
0301,03,01,16956,1289,1421,397,1508,4562,1924,1997,3858,8541,2484,100.0,7.60202878037273,8.380514272234016,2.3413540929464496,8.893606982778959,26.904930408115124,11.34701580561453,11.777541873083274,22.753007784854915,50.3715498938429,14.64968152866242
0302,03,02,47175,3196,4715,1317,3363,11519,8015,6758,8292,24073,3827,100.0,6.774774774774775,9.994700582935877,2.7917329093799683,7.128775834658188,24.41759406465289,16.989931107578165,14.32538420773715,17.57710651828299,51.029146793852675,8.112347641759406
0303,03,03,35224,2270,3196,964,2483,7866,5624,5572,7249,17814,2670,100.0,6.444469679763798,9.073359073359073,2.7367703838292075,7.049171019759255,22.3313649784238,15.966386554621847,15.818759936406995,20.57971837383602,50.57347263229616,7.580059050647287
0304,03,04,90080,6044,8115,2193,6747,26478,14027,10338,16138,47123,8451,100.0,6.709591474245115,9.00865896980462,2.4345026642984013,7.490008880994671,29.393872113676732,15.571714031971581,11.476465364120783,17.9151865008881,52.31238898756661,9.381660746003552
0305,03,05,53737,3733,4499,1107,4343,17487,7767,5993,8808,27423,6425,100.0,6.946796434486481,8.372257476226808,2.060033124290526,8.081954705324078,32.54182406907717,14.453728343599382,11.152464782179877,16.390941064815674,51.03187747734336,11.956380147756667
0306,03,06,103821,6662,7748,1740,9088,41660,16297,8467,12159,52312,20104,100.0,6.416813554097918,7.462844703865307,1.6759615106770307,8.753527706340721,40.126756629198326,15.697209620404351,8.155382822357712,11.711503453058631,50.38672330260737,19.364097822213232
0307,03,07,60772,4438,5587,1351,4936,23736,11252,5185,4287,30175,13205,100.0,7.302705193181071,9.193378529585994,2.223063252813796,8.122161521753439,39.057460672678204,18.51510564075561,8.531889686039623,7.054235503192259,49.652800631869944,21.728756664253275
0401,04,01,19490,1203,1511,447,1954,4850,2663,2495,4367,10013,5451,100.0,6.1723961005643915,7.752693689071319,2.293483837865572,10.025654181631607,24.884556182657775,13.663417136993331,12.80143663417137,22.40636223704464,51.375064135454075,27.968188814776806
