district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
3,40,8,29,939,313.0,24.0,18.0,38.0,19.0,13.0,83.0,15.0,19.0,15.0,18.0,48.0,6.0,15,144.0,57.0,40.0,6.0,195.0,20.0,0.0,106.0,9.0,33.0,25.0,25.0,6.0
3,40,8,30,1483,550.0,38.0,10.0,65.0,28.0,28.0,131.0,54.0,22.0,12.0,33.0,70.0,23.0,21,204.0,60.0,38.0,16.0,369.0,54.0,12.0,142.0,7.0,38.0,20.0,39.0,32.0
3,40,8,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50,9,32,931,220.0,13.0,6.0,38.0,15.0,10.0,56.0,4.0,19.0,3.0,16.0,63.0,10.0,30,187.0,59.0,23.0,12.0,302.0,27.0,16.0,137.0,6.0,60.0,62.0,10.0,12.0
3,50,9,33,1289,531.0,32.0,21.0,37.0,21.0,37.0,127.0,79.0,19.0,12.0,42.0,63.0,3.0,22,173.0,72.0,31.0,6.0,180.0,31.0,6.0,85.0,9.0,26.0,22.0,37.0,20.0
3,50,9,34,2732,1145.0,98.0,37.0,189.0,59.0,73.0,220.0,98.0,125.0,30.0,74.0,117.0,6.0,51,391.0,184.0,80.0,36.0,452.0,88.0,24.0,173.0,6.0,64.0,66.0,92.0,61.0
3,50,9,35,1684,719.0,65.0,24.0,94.0,31.0,57.0,159.0,52.0,34.0,43.0,43.0,137.0,21.0,32,194.0,94.0,40.0,22.0,263.0,72.0,19.0,88.0,4.0,52.0,52.0,57.0,21.0
3,50,9,36,2101,752.0,70.0,19.0,89.0,27.0,28.0,135.0,61.0,107.0,24.0,44.0,143.0,49.0,50,285.0,109.0,39.0,28.0,411.0,29.0,19.0,218.0,13.0,125.0,115.0,27.0,61.0
3,50,10,37,1653,519.0,16.0,36.0,55.0,15.0,39.0,123.0,51.0,55.0,19.0,33.0,106.0,21.0,25,286.0,126.0,46.0,34.0,461.0,39.0,22.0,270.0,12.0,151.0,88.0,16.0,44.0
3,50,10,38,1150,249.0,18.0,19.0,18.0,10.0,10.0,91.0,3.0,22.0,3.0,12.0,52.0,24.0,9,235.0,143.0,30.0,16.0,404.0,25.0,15.0,192.0,0.0,61.0,71.0,9.0,34.0
3,60,11,39,1306,512.0,91.0,21.0,74.0,29.0,36.0,77.0,48.0,13.0,9.0,54.0,34.0,9.0,16,152.0,60.0,43.0,7.0,258.0,35.0,28.0,135.0,10.0,58.0,17.0,44.0,33.0
3,60,11,40,1824,815.0,122.0,27.0,134.0,64.0,71.0,96.0,24.0,57.0,19.0,96.0,51.0,3.0,10,133.0,50.0,24.0,22.0,235.0,66.0,9.0,91.0,10.0,31.0,21.0,103.0,48.0
3,60,11,41,2206,928.0,125.0,15.0,107.0,71.0,84.0,141.0,12.0,63.0,12.0,118.0,106.0,16.0,27,247.0,103.0,34.0,12.0,339.0,80.0,29.0,141.0,18.0,46.0,25.0,103.0,13.0
3,60,11,42,3762,1760.0,324.0,75.0,336.0,136.0,141.0,177.0,52.0,84.0,34.0,234.0,93.0,13.0,35,315.0,149.0,52.0,17.0,383.0,70.0,50.0,176.0,12.0,56.0,23.0,238.0,55.0
3,60,12,43,2023,846.0,106.0,42.0,135.0,101.0,84.0,94.0,46.0,33.0,13.0,137.0,44.0,4.0,15,195.0,92.0,43.0,21.0,214.0,49.0,15.0,91.0,12.0,19.0,40.0,116.0,16.0
3,60,12,44,2016,851.0,91.0,33.0,166.0,59.0,105.0,127.0,28.0,30.0,9.0,104.0,55.0,16.0,9,172.0,71.0,28.0,16.0,256.0,54.0,9.0,103.0,12.0,34.0,68.0,68.0,33.0
