district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,10,1,1,3436,100.0,2092.0,60.9,2015.0,58.6,1344.0,39.1,671.0,19.5,1421.0,41.4
1,10,1,2,1791,100.0,1199.0,66.9,890.0,49.7,592.0,33.1,298.0,16.6,901.0,50.3
1,10,1,3,5251,100.0,3096.0,59.0,3347.0,63.7,2155.0,41.0,1192.0,22.7,1904.0,36.3
1,10,1,4,4677,100.0,3038.0,65.0,2847.0,60.9,1639.0,35.0,1208.0,25.8,1830.0,39.1
1,10,2,5,2732,100.0,1734.0,63.5,1443.0,52.8,998.0,36.5,445.0,16.3,1289.0,47.2
1,10,2,6,1823,100.0,957.0,52.5,1166.0,64.0,866.0,47.5,300.0,16.5,657.0,36.0
1,10,2,7,8379,100.0,4324.0,51.6,5496.0,65.6,4055.0,48.4,1441.0,17.2,2883.0,34.4
1,10,3,8,7032,100.0,3133.0,44.6,4800.0,68.3,3899.0,55.4,901.0,12.8,2232.0,31.7
1,10,3,9,12314,100.0,5046.0,41.0,8998.0,73.1,7268.0,59.0,1730.0,14.0,3316.0,26.9
1,10,3,10,10043,100.0,4958.0,49.4,6441.0,64.1,5085.0,50.6,1356.0,13.5,3602.0,35.9
1,10,3,11,9197,100.0,4254.0,46.3,6393.0,69.5,4943.0,53.7,1450.0,15.8,2804.0,30.5
1,10,3,12,9772,100.0,4445.0,45.5,6752.0,69.1,5327.0,54.5,1425.0,14.6,3020.0,30.9
1,10,3,13,10715,100.0,4941.0,46.1,7385.0,68.9,5774.0,53.9,1611.0,15.0,3330.0,31.1
1,10,4,14,5185,100.0,2761.0,53.2,3136.0,60.5,2424.0,46.8,712.0,13.7,2049.0,39.5
1,10,4,15,12666,100.0,5133.0,40.5,9238.0,72.9,7533.0,59.5,1705.0,13.5,3428.0,27.1
1,10,4,16,13435,100.0,5466.0,40.7,9785.0,72.8,7969.0,59.3,1816.0,13.5,3650.0,27.2
1,20,5,17,3723,100.0,2176.0,58.4,2214.0,59.5,1547.0,41.6,667.0,17.9,1509.0,40.5
1,20,5,18,6851,100.0,4341.0,63.4,3837.0,56.0,2510.0,36.6,1327.0,19.4,3014.0,44.0
1,20,5,19,9097,100.0,4912.0,54.0,5774.0,63.5,4185.0,46.0,1589.0,17.5,3323.0,36.5
1,20,5,20,9375,100.0,4513.0,48.1,6601.0,70.4,4862.0,51.9,1739.0,18.5,2774.0,29.6
1,20,5,21,5208,100.0,3070.0,58.9,3275.0,62.9,2138.0,41.1,1137.0,21.8,1933.0,37.1
1,20,5,22,11365,100.0,4042.0,35.6,9079.0,79.9,7323.0,64.4,1756.0,15.5,2286.0,20.1
1,20,6,23,10763,100.0,5439.0,50.5,7461.0,69.3,5324.0,49.5,2137.0,19.9,3302.0,30.7
1,20,6,24,5709,100.0,3896.0,68.2,3026.0,53.0,1813.0,31.8,1213.0,21.2,2683.0,47.0
1,20,6,25,6910,100.0,4133.0,59.8,4561.0,66.0,2777.0,40.2,1784.0,25.8,2349.0,34.0
