id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0110,01,10,124547,66421,80273,58126,22147,44274,100.0,53.330068167037346,64.45197395360788,46.66993183296266,17.78204212064522,35.548026046392124
0120,01,20,90529,50826,58187,39703,18484,32342,100.0,56.14333528482586,64.27443139767367,43.85666471517414,20.41776668249953,35.72556860232633
0130,01,30,78770,52124,47870,26646,21224,30900,100.0,66.1724006601498,60.77186746223181,33.827599339850195,26.944268122381615,39.22813253776818
0140,01,40,103158,62590,62723,40568,22155,40435,100.0,60.67391767967584,60.802846119544775,39.32608232032416,21.476763799220613,39.197153880455225
0210,02,10,40981,29145,25348,11836,13512,15633,100.0,71.11832312535077,61.853053854225124,28.881676874649227,32.9713769795759,38.146946145774876
0220,02,20,64657,30088,46730,34569,12161,17927,100.0,46.53479128323306,72.27369039701811,53.465208716766945,18.80848168025117,27.726309602981893
0230,02,30,45780,25145,30452,20635,9817,15328,100.0,54.92573176059415,66.51813018785496,45.07426823940585,21.443861948449104,33.48186981214504
0240,02,40,53262,23974,37460,29288,8172,15802,100.0,45.011452818144264,70.33156847283242,54.98854718185573,15.34302129097668,29.668431527167588
0250,02,50,87944,36822,62642,51122,11520,25302,100.0,41.86982625307014,71.22941872100428,58.13017374692987,13.099244974074411,28.770581278995728
0310,03,10,17674,4977,13951,12697,1254,3723,100.0,28.160009052845993,78.93515899060766,71.839990947154,7.09516804345366,21.064841009392328
0320,03,20,49064,11062,42369,38002,4367,6695,100.0,22.546062285993802,86.35455731289744,77.45393771400619,8.900619598891243,13.64544268710256
0330,03,30,37751,8434,32293,29317,2976,5458,100.0,22.34113003629043,85.54210484490477,77.65886996370958,7.8832348811952,14.45789515509523
0340,03,40,95353,23791,81141,71562,9579,14212,100.0,24.950447285350226,85.09538242110894,75.04955271464976,10.045829706459157,14.904617578891068
0350,03,50,57552,16255,46290,41297,4993,11262,100.0,28.24402279677509,80.43160967472895,71.7559772032249,8.67563247150403,19.56839032527106
0360,03,60,108982,40739,81119,68243,12876,27863,100.0,37.38140243342937,74.43339267034924,62.61859756657062,11.814795103778605,25.566607329650772
0370,03,70,60900,23100,45942,37800,8142,14958,100.0,37.93103448275862,75.4384236453202,62.06896551724138,13.369458128078819,24.561576354679804
0410,04,10,19646,11322,13170,8324,4846,6476,100.0,57.6300519189657,67.03654687977196,42.36994808103431,24.666598798737656,32.96345312022804
0420,04,20,41112,15468,31968,25644,6324,9144,100.0,37.62405137186223,77.75831873905429,62.37594862813777,15.382370110916522,22.241681260945708
0430,04,30,109983,55663,76564,54320,22244,33419,100.0,50.61054890301229,69.61439495194712,49.38945109698772,20.224943854959403,30.385605048052884
0440,04,40,54276,21276,42728,33000,9728,11548,100.0,39.199646252487284,78.72356105829465,60.800353747512716,17.92320731078193,21.276438941705358
