id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,15291.0,22258.0,7277.0,31011.0,89936.0,28210.000000000004,20012.0,17966.0,111402.0,147951.0
02,02,100.0,9584.0,12716.0,4271.0,16935.0,62435.0,17752.0,11546.0,9935.0,70414.0,89992.0
03,03,100.0,11563.0,14663.999999999998,4047.9999999999995,14965.0,55653.0,14372.0,7230.0,5863.0,64023.0,84171.0
04,04,100.0,10633.0,15601.0,5310.0,18555.0,53233.00000000001,20904.0,16376.0,19352.0,81320.0,93506.0
05,05,100.0,10449.0,16144.0,5088.0,13050.0,36790.0,15102.000000000002,11019.0,10778.0,58490.0,69363.0
06,06,100.0,7442.0,12495.0,4110.0,12376.0,30627.0,13311.000000000002,10367.0,11990.0,53094.00000000001,55338.0
07,07,100.0,11814.0,16918.0,5381.0,16538.0,50478.0,19487.0,15486.000000000002,16329.0,75137.0,83582.0
08,08,100.0,12689.0,19147.0,6217.0,18424.0,59857.00000000001,21996.0,16222.999999999998,14844.999999999998,81869.0,93795.0
09,09,100.0,7931.999999999999,8761.0,2471.0,10560.0,31210.000000000004,7306.999999999999,4178.0,4155.0,36737.0,50836.0
10,10,100.0,9556.0,12010.0,3449.0,11083.0,29874.0,9298.0,5938.0,6376.0,42716.0,57642.99999999999
11,11,100.0,11923.0,13971.0,3896.0,15930.000000000002,45716.0,11013.0,6828.0,6334.0,56303.0,79702.0
12,12,100.0,9661.0,14403.0,4570.0,13626.0,35640.0,14447.0,10889.0,10436.0,54996.0,65999.0
