id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
1003,10,03,100.0,308.0,376.0,100.0,779.0,948.0,412.0,292.0,171.0,1601.0000000000002,1964.9999999999998
1004,10,04,100.0,305.0,415.00000000000006,128.0,310.0,928.9999999999999,396.0,294.0,132.0,1440.0,1330.0
1101,11,01,100.0,1479.0,1862.0,476.0,1646.0,3890.9999999999995,1454.0,1246.0,544.0,6210.0,6952.0
1102,11,02,100.0,1224.0,1328.0,339.0,1397.0,2999.0,913.0000000000001,556.0,281.0,4301.0,5945.0
1103,11,03,100.0,2173.0,2273.0,644.0,4288.0,7927.0,2257.0,1442.0,718.0,9712.0,15056.0
1104,11,04,100.0,1561.0,1639.0,436.00000000000006,2644.0,5481.0,1587.0,1083.0,513.0,7283.0,9453.0
1105,11,05,100.0,512.0,577.0,160.0,1072.0,1629.0,403.0,206.99999999999997,118.0,2054.0,3149.0
1210,12,10,100.0,2261.0,2683.0,810.0,3095.0,7373.0,2912.0,1959.0,1411.0,10844.0,12673.0
1221,12,21,100.0,1776.0000000000002,2344.0,724.0,2376.0,5871.0,2629.0,1685.0000000000002,1430.0,9094.0,10189.0
1222,12,22,100.0,281.0,429.0,234.0,265.0,675.0,468.0,318.0,284.0,1533.0,1273.0
1223,12,23,100.0,344.0,651.0,199.0,331.0,881.0,628.0,426.0,415.00000000000006,2027.0,1714.0
1230,12,30,100.0,3599.0,5285.0,1630.0,3735.0,9049.0,4110.0,2705.0,1864.9999999999998,15697.999999999998,16677.0
