id,district_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01,01,100.0,59414.0,4638.0,3326.0,5557.0,2273.0,3308.0,3079.0,13451.0,8040.000000000001,3863.0000000000005,2060.0,11764.0,2734.0,3978.0,14072.999999999998,5962.0,2674.0,986.9999999999999,71200.0,36340.0,1642.0000000000002,23989.0,6315.0,4958.0,2566.0,3743.0,10788.0
02,02,100.0,36821.0,4264.0,1682.0,5232.0,2012.0,3204.9999999999995,3074.0,5162.0,2165.0,1473.0,1081.0,4697.0,1123.0,1371.0,6135.0,2497.0,1051.0,608.0,42383.0,27464.0,857.0,10665.0,2692.0,2395.0,2499.0,3840.0,7729.000000000001
03,03,100.0,32269.0,3381.0,1141.0,4024.0,2013.0,2417.0,2659.0,5967.0,1470.0,1287.0,640.0,2692.0,494.00000000000006,718.0,9142.0,4026.0,1405.0,1104.0,13096.0,2250.0,657.0,6008.0,360.0,2273.0,2117.0,3268.0,1291.0
04,04,100.0,46238.0,3690.0,2520.0,4843.0,2295.0,2229.0,2825.0,12369.0,2433.0,2652.0,2210.0,8507.0,1413.0,3105.0,17335.0,6290.0,4114.0,861.0,35334.0,11898.0,4029.9999999999995,13474.0,1888.0,3070.0,1533.0,4186.0,6695.999999999999
05,05,100.0,24577.0,491.0,710.0,1366.0,594.0,453.0,936.0,11725.0,2283.0,2030.0,1479.0,6853.0,1436.0,2387.0,11726.0,5056.0,1310.0,2714.0,32411.0,12853.0,1701.0000000000002,10561.0,1762.0,3008.0,776.0,505.0,4978.0
06,06,100.0,27123.0,1553.0,1786.0,2120.0,1547.0,1024.0,1584.0,9324.0,1126.0,1152.0,1676.0000000000002,5544.0,1115.0,1646.0,7770.0,3210.0,1531.0,679.0,19430.0,6865.000000000001,2100.0,6683.0,916.0,1971.0,529.0,4351.0,3863.0000000000005
07,07,100.0,38508.0,2472.0,2397.0,3643.0,1487.0,1462.0,1792.0000000000002,13105.000000000002,2387.0,1877.0,2667.0,9497.0,1623.9999999999998,3344.0,11229.0,4447.0,2159.0,1432.0,43197.0,22196.0,1504.0,13975.0,3265.9999999999995,3711.0,824.0,2541.0,8885.0
08,08,100.0,41063.0,2640.0,1945.0,3884.0000000000005,1420.0,1784.0,2171.0,13236.000000000002,3551.0,3345.0000000000005,1871.0,12746.0,2110.0,5161.0,5766.0,2122.0,909.0,918.0,62054.0,36292.0,732.0,20599.0,7923.999999999999,3006.0,916.0,2051.0,12604.0
09,09,100.0,11780.0,534.0,428.0,736.0,499.0,458.0,463.0,3922.0,1237.0,998.0,297.0,2251.0,547.0,873.0,4937.0,1997.0,719.0,866.0,9114.0,2176.0,270.0,3990.0,339.0,1433.0,1131.0,495.0,998.0
10,10,100.0,9880.0,115.99999999999999,308.0,341.0,149.0,196.0,139.0,3890.0,1093.0,1373.0,138.0,1700.0,238.0,645.0,18194.0,7981.999999999999,1600.0,5542.0,13010.0,1037.0,190.0,3540.0,141.0,1475.0,4173.0,142.0,739.0
11,11,100.0,15604.0,532.0,438.99999999999994,969.9999999999999,365.0,552.0,415.00000000000006,4994.0,2134.0,1630.9999999999998,467.0,4688.0,1122.0,1443.0,16561.0,6958.0,1645.0,3949.0,18433.0,1559.0,531.0,7488.0,276.0,3276.0,7667.0,413.99999999999994,1215.0
12,12,100.0,24682.0,1246.0,1178.0,1889.0,677.0,514.0,589.0,10662.0,2487.0,1436.0,1335.0,6851.000000000001,1452.0,2389.0,7267.0,3206.0,906.0,1226.0,31555.0,15800.0,909.0,9312.0,1742.0000000000002,2431.0,906.0,747.0,5843.0
