id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
0101,01,01,100.0,4578.0,4853.0,1235.0,6881.0,25125.0,6429.000000000001,3554.0,2991.0,27202.999999999996,37293.0
0102,01,02,100.0,3238.0000000000005,4273.0,1315.0,6085.0,17092.0,5391.0,3771.0,3746.0,21167.0,28052.0
0103,01,03,100.0,4287.0,6540.000000000001,2018.0,6430.0,15834.0,6275.0,4097.0,3665.9999999999995,23543.0,28575.0
0104,01,04,100.0,4339.0,5901.0,1923.0,7820.0,20758.0,7384.999999999999,5171.0,4338.0,27052.0,36931.0
0201,02,01,100.0,2154.0,3515.9999999999995,1183.0,3058.0,8937.0,3928.0,2716.0,2407.0,13719.0,14300.0
0202,02,02,100.0,2055.0,2576.0,833.0,3011.0,11539.0,3835.0,2498.0,2216.0,13854.0,17314.0
0203,02,03,100.0,1488.0,2171.0,793.0,2709.0,9864.0,3667.0,2321.0,2670.0,12227.0,15929.0
0204,02,04,100.0,1709.0,1610.0000000000002,397.0,2869.0,8343.0,1623.0,961.0,858.0,8950.0,12109.0
0205,02,05,100.0,2724.0,2087.0,422.0,3801.0,17489.0,2586.0,1108.0,653.0,14858.000000000002,21711.0
0301,03,01,100.0,453.0,416.0,82.0,450.0,1208.0,313.0,181.0,204.0,1498.0,2345.0
0302,03,02,100.0,821.0000000000001,1086.0,264.0,844.9999999999999,2338.0,908.0,525.0,597.0,3804.9999999999995,3884.0000000000005
0303,03,03,100.0,739.0,788.0,156.0,617.0,1682.0,519.0,323.0,455.0,2561.0,3027.0
0304,03,04,100.0,2038.0,2185.0,476.99999999999994,1705.0,6929.000000000001,1832.9999999999998,924.0,1163.0,8644.0,9801.0
0305,03,05,100.0,1235.0,1213.0,316.0,1282.0,4708.0,1103.0,576.0,515.0,5308.0,7154.000000000001
0306,03,06,100.0,2910.0,3094.0,676.0,3460.0,15613.999999999998,3482.0,1437.0,1118.0,15866.0,21331.0
0307,03,07,100.0,1973.0,2182.0,577.0,2062.0,9718.0,2533.0,965.0,644.0,10419.0,13609.0
0401,04,01,100.0,890.0,1212.0,321.0,1039.0,3213.0000000000005,1462.0,1054.0,935.0,4986.0,5622.0
0402,04,02,100.0,966.0,1489.0,459.99999999999994,2037.0,4550.0,1950.0,1340.0,1546.0,7070.999999999999,8756.0
0403,04,03,100.0,4472.0,5714.0,1767.0000000000002,6987.0,23248.0,9850.0,7706.999999999999,8409.0,33792.0,41348.0
0404,04,04,100.0,1486.0,2168.0,621.0,1705.9999999999998,5497.0,2876.0,2082.0,2334.0,9624.0,10258.0
0405,04,05,100.0,2474.0,3394.0,969.0,3511.9999999999995,11689.0,5141.0,3943.0,4367.0,17680.0,20882.0
0406,04,06,100.0,0.0,0.0,0.0,9.0,3.0,3.0,3.0,0.0,3.0,15.0
0501,05,01,100.0,4248.0,5836.0,1709.0,4643.0,13399.0,5788.0,3979.9999999999995,3929.9999999999995,21328.0,24622.0
0502,05,02,100.0,3314.0,4764.0,1445.0,3649.0,9920.0,4428.0,3207.0,2918.0,16442.0,18984.0
0503,05,03,100.0,1273.0,1748.0,512.0,1398.0,4298.0,1932.0,1444.0,1433.0,6920.0,7087.0
0504,05,04,100.0,351.0,625.0,200.99999999999997,237.0,757.0,564.0,413.0,470.0,1866.0,1302.0
0601,06,01,100.0,2018.0,2674.0,776.0,2409.0,7959.999999999999,3550.0,2678.0,2887.0,12786.0,13106.0
