id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,15057,9283,9121,5774,3347,5936,100.0,61.65238759381019,60.57647605764761,38.34761240618981,22.228863651457793,39.423523942352396
010112,01,01,12,12688,6830,8087,5858,2229,4601,100.0,53.83039092055486,63.7373896595208,46.169609079445145,17.567780580075663,36.2626103404792
010113,01,01,13,58436,26271,40737,32165,8572,17699,100.0,44.95687589841879,69.7121637346841,55.04312410158122,14.669039633102882,30.287836265315903
010114,01,01,14,31214,13262,22157,17952,4205,9057,100.0,42.48734542192606,70.98417376818095,57.51265457807394,13.471519190107003,29.01582623181905
010221,01,02,21,45695,23010,30985,22685,8300,14710,100.0,50.355618776671406,67.8082941240836,49.644381223328594,18.163912900755005,32.191705875916405
010222,01,02,22,41133,21901,27791,19232,8559,13342,100.0,53.24435368195852,67.56375659446186,46.75564631804148,20.80811027642039,32.436243405538136
010331,01,03,31,38046,24039,22782,14007,8775,15264,100.0,63.18404037218105,59.88014508752563,36.815959627818955,23.06418545970667,40.11985491247437
010332,01,03,32,39293,25108,25982,14185,11797,13311,100.0,63.89942228895732,66.12373705240118,36.10057771104268,30.023159341358514,33.8762629475988
010441,01,04,41,45678,22136,31884,23542,8342,13794,100.0,48.460965891676516,69.80165506370682,51.53903410832348,18.262620955383333,30.198344936293182
010442,01,04,42,56120,35499,32983,20621,12362,23137,100.0,63.255523877405565,58.77227369921597,36.744476122594435,22.027797576621523,41.227726300784035
020101,02,01,01,40490,27899,26190,12591,13599,14300,100.0,68.90343294640651,64.6826376883181,31.096567053593482,33.58607063472462,35.3173623116819
020202,02,02,02,65074,28563,47760,36511,11249,17314,100.0,43.89310630973968,73.39336755078834,56.10689369026032,17.286473860528016,26.606632449211666
020303,02,03,03,21713,12657,14180,9056,5124,7533,100.0,58.29226730530097,65.30649841109013,41.70773269469903,23.5987657163911,34.69350158890987
020304,02,03,04,25858,13026,17462,12832,4630,8396,100.0,50.375125686441336,67.53035810967593,49.624874313558664,17.905483796117256,32.46964189032408
020405,02,04,05,24571,7725,19796,16846,2950,4775,100.0,31.439501851776484,80.56652150909609,68.56049814822352,12.006023360872573,19.43347849090391
020407,02,04,07,25757,10645,18423,15112,3311,7334,100.0,41.32857087393718,71.52618705594595,58.67142912606281,12.85475792988314,28.473812944054046
020506,02,05,06,31307,10841,23753,20466,3287,7554,100.0,34.62803845785288,75.8712109112978,65.37196154214713,10.49924936915067,24.128789088702206
020508,02,05,08,55017,20029,40860,34988,5872,14157,100.0,36.40511114746351,74.26795354163258,63.59488885253649,10.673064689096098,25.732046458367414
030101,03,01,01,16692,3307,14347,13385,962,2345,100.0,19.81188593338126,85.95135394200814,80.18811406661874,5.763239875389408,14.048646057991853
030202,03,02,02,28622,4684,25962,23938,2024,2660,100.0,16.365033890014676,90.7064495842359,83.63496610998533,7.071483474250577,9.293550415764097
