id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,01,01,11,01,100.0,540.0,46.0,57.99999999999999,85.0,19.0,62.0,106.0,25.0,18.0,21.0,31.0,74.0,6.0,26.0,381.0,130.0,92.0,27.0,433.0,98.0,51.0,211.0,11.0,44.0,16.0,50.0,82.0
01011102,01,01,11,02,100.0,42.0,0.0,0.0,3.0,0.0,6.0,14.000000000000002,0.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,9.0,0.0,3.0,3.0,9.0,0.0
01011103,01,01,11,03,100.0,890.0,124.0,32.0,90.0,37.0,50.0,185.0,73.0,118.0,36.0,53.0,181.0,43.0,60.0,423.00000000000006,183.0,89.0,35.0,922.0000000000001,323.0,83.0,346.0,55.00000000000001,94.0,42.0,71.0,125.0
01011104,01,01,11,04,100.0,593.0,70.0,33.0,77.0,35.0,39.0,97.0,55.00000000000001,24.0,15.0,53.0,111.00000000000001,50.0,24.0,285.0,107.0,83.0,0.0,1297.0,378.0,63.0,686.0,179.0,128.0,25.0,56.00000000000001,220.00000000000003
01011105,01,01,11,05,100.0,287.0,17.0,9.0,35.0,28.000000000000004,27.0,55.00000000000001,22.0,21.0,0.0,21.0,13.0,0.0,13.0,229.0,128.0,48.0,13.0,364.0,47.0,18.0,256.0,9.0,13.0,9.0,40.0,25.0
01011201,01,01,12,01,100.0,385.0,16.0,15.0,46.0,18.0,26.0,31.0,113.99999999999999,21.0,9.0,33.0,43.0,9.0,19.0,342.0,155.0,87.0,15.0,331.0,59.0,28.000000000000004,196.0,31.0,14.000000000000002,42.0,53.0,55.00000000000001
01011202,01,01,12,02,100.0,140.0,14.000000000000002,0.0,24.0,9.0,7.000000000000001,9.0,14.000000000000002,23.0,3.0,9.0,12.0,0.0,6.0,40.0,12.0,9.0,0.0,21.0,3.0,0.0,9.0,0.0,0.0,0.0,32.0,3.0
01011203,01,01,12,03,100.0,165.0,6.0,15.0,19.0,12.0,9.0,30.0,18.0,6.0,0.0,22.0,12.0,3.0,6.0,224.00000000000003,152.0,21.0,0.0,73.0,30.0,9.0,22.0,6.0,0.0,12.0,22.0,12.0
01011204,01,01,12,04,100.0,1197.0,106.0,49.0,109.00000000000001,70.0,91.0,178.0,198.0,80.0,22.0,81.0,145.0,25.0,52.0,891.0,461.00000000000006,156.0,46.0,919.9999999999999,211.0,55.00000000000001,479.0,23.0,178.0,169.0,122.0,155.0
01011301,01,01,13,01,100.0,1163.0,121.0,35.0,127.0,105.0,122.0,173.0,59.0,77.0,28.000000000000004,152.0,66.0,9.0,16.0,385.0,178.0,67.0,26.0,480.99999999999994,103.0,56.99999999999999,173.0,19.0,41.0,36.0,200.0,56.99999999999999
01011302,01,01,13,02,100.0,1789.0,270.0,63.0,265.0,145.0,165.0,208.0,113.99999999999999,72.0,43.0,289.0,162.0,15.0,53.0,500.0,275.0,73.0,18.0,762.0,240.0,54.0,303.0,22.0,101.0,97.0,424.0,90.0
01011303,01,01,13,03,100.0,1362.0,168.0,66.0,211.0,79.0,134.0,186.0,102.0,64.0,19.0,158.0,134.0,22.0,53.0,566.0,268.0,107.0,34.0,965.0,184.0,55.00000000000001,501.99999999999994,46.0,177.0,321.0,216.0,129.0
01011304,01,01,13,04,100.0,871.0000000000001,72.0,43.0,130.0,18.0,113.99999999999999,164.0,95.0,47.0,9.0,54.0,240.0,47.0,51.0,443.0,166.0,89.0,40.0,1031.0,292.0,47.0,436.00000000000006,22.0,162.0,738.0,59.0,136.0
01011305,01,01,13,05,100.0,1007.0,89.0,28.999999999999996,133.0,56.99999999999999,111.00000000000001,159.0,95.0,27.0,24.0,113.99999999999999,98.0,16.0,28.000000000000004,643.0,329.0,120.0,28.999999999999996,982.0,250.0,40.0,512.0,41.0,160.0,134.0,135.0,177.0
01011306,01,01,13,06,100.0,1381.0,135.0,54.0,182.0,62.0,109.00000000000001,242.0,75.0,78.0,36.0,136.0,206.99999999999997,21.0,54.0,463.99999999999994,196.0,97.0,38.0,1132.0,565.0,63.0,301.0,27.0,74.0,169.0,359.0,235.0
01011401,01,01,14,01,100.0,2785.0,327.0,109.00000000000001,412.0,246.0,243.00000000000003,371.0,108.0,130.0,47.0,341.0,183.0,12.0,54.0,873.0,403.0,176.0,34.0,1312.0,249.00000000000003,122.0,629.0,27.0,180.0,96.0,478.0,168.0
01011402,01,01,14,02,100.0,2138.0,307.0,123.0,382.0,173.0,184.0,225.99999999999997,60.0,85.0,43.0,345.0,141.0,24.0,40.0,462.0,204.0,81.0,17.0,643.0,131.0,56.99999999999999,294.0,18.0,69.0,52.0,561.0,95.0
01022101,01,02,21,01,100.0,672.0,49.0,33.0,65.0,22.0,27.0,223.0,67.0,61.0,28.000000000000004,35.0,139.0,54.0,43.0,98.0,39.0,22.0,3.0,705.0,151.0,28.000000000000004,424.0,153.0,92.0,6.0,38.0,96.0
01022102,01,02,21,02,100.0,1277.0,89.0,76.0,93.0,40.0,50.0,317.0,216.0,122.0,72.0,63.0,379.0,53.0,148.0,195.0,67.0,34.0,12.0,1623.9999999999998,567.0,36.0,762.0,177.0,142.0,45.0,64.0,229.99999999999997
01022103,01,02,21,03,100.0,28.999999999999996,0.0,3.0,0.0,0.0,0.0,0.0,13.0,7.000000000000001,3.0,0.0,21.0,9.0,3.0,3.0,3.0,0.0,0.0,140.0,31.0,10.0,50.0,12.0,12.0,3.0,3.0,9.0
01022104,01,02,21,04,100.0,2753.0,219.0,159.0,312.0,105.0,158.0,703.0,259.0,162.0,189.0,181.0,762.0,128.0,250.99999999999997,538.0,227.99999999999997,124.0,34.0,3232.0,1323.0,122.0,1298.0,370.0,339.0,87.0,183.0,568.0
01022105,01,02,21,05,100.0,943.0,60.0,48.0,110.00000000000001,18.0,46.0,180.0,266.0,71.0,43.0,31.0,200.99999999999997,33.0,107.0,229.0,74.0,72.0,15.0,1239.0,429.0,35.0,617.0,242.0,128.0,18.0,53.0,171.0
01022106,01,02,21,06,100.0,1276.0,145.0,59.0,165.0,64.0,84.0,244.0,99.0,127.0,59.0,115.99999999999999,197.0,32.0,60.0,436.00000000000006,167.0,113.99999999999999,34.0,1095.0,399.0,83.0,413.99999999999994,112.00000000000001,55.00000000000001,26.0,137.0,182.0
