id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,359363,173809,250125,185554,64571,109238,100.0,48.36585847736133,69.60232411238775,51.634141522638664,17.968182589749084,30.397675887612248
02,02,276996,108179,210584,168817,41767,66412,100.0,39.05435457551734,76.0242025155598,60.94564542448266,15.078557091077126,23.975797484440207
03,03,386570,62250,347757,324320,23437,38813,100.0,16.103163721964975,89.95964508368472,83.89683627803502,6.062808805649688,10.040354916315286
04,04,327449,122052,254511,205397,49114,72938,100.0,37.27359069656649,77.72538624335392,62.72640930343351,14.998976939920416,22.274613756646072
05,05,231120,69701,197697,161419,36278,33423,100.0,30.157926618206993,85.53868120456906,69.84207338179301,15.696607822776047,14.461318795430945
06,06,297421,69495,261601,227926,33675,35820,100.0,23.365868583590263,87.95646575056905,76.63413141640973,11.322334334159322,12.043534249430941
07,07,337766,110800,279597,226966,52631,58169,100.0,32.80377539479995,82.77831398068484,67.19622460520004,15.582089375484804,17.221686019315147
08,08,326349,138686,248883,187663,61220,77466,100.0,42.496223368234624,76.26283518564482,57.503776631765376,18.759058553879434,23.737164814355186
09,09,250751,24762,236608,225989,10619,14143,100.0,9.875135094177093,94.35974333103357,90.1248649058229,4.234878425210667,5.640256668966425
10,10,257105,35811,241211,221294,19917,15894,100.0,13.928550592170513,93.81808988545536,86.07144940782948,7.746640477625872,6.181910114544642
11,11,270398,50314,240555,220084,20471,29843,100.0,18.60738614930584,88.96330594161199,81.39261385069416,7.570692090917833,11.036694058388004
12,12,254902,70921,219134,183981,35153,35768,100.0,27.82284956571545,85.96794062031682,72.17715043428456,13.790790186032279,14.032059379683174
