id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,01,01,11,01,100.0,536.0,36.0,56.00000000000001,57.99999999999999,18.0,54.0,21.0,110.00000000000001,28.000000000000004,41.0,15.0,64.0,9.0,25.0,296.0,118.0,42.0,28.999999999999996,428.0,66.0,74.0,216.0,12.0,37.0,36.0,9.0,71.0
01011102,01,01,11,02,100.0,33.0,0.0,0.0,3.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,3.0,0.0,6.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,3.0
01011103,01,01,11,03,100.0,911.0,148.0,34.0,73.0,9.0,41.0,55.00000000000001,204.0,79.0,111.00000000000001,33.0,180.0,34.0,71.0,413.99999999999994,162.0,89.0,31.0,892.0,287.0,51.0,336.0,36.0,86.0,42.0,49.0,149.0
01011104,01,01,11,04,100.0,732.0,91.0,31.0,70.0,25.0,48.0,33.0,162.0,73.0,30.0,6.0,94.0,56.99999999999999,12.0,246.0,101.0,53.0,13.0,1147.0,434.0,67.0,478.0,183.0,34.0,39.0,32.0,231.99999999999997
01011105,01,01,11,05,100.0,146.0,16.0,7.000000000000001,9.0,12.0,9.0,9.0,33.0,9.0,0.0,0.0,3.0,0.0,3.0,160.0,88.0,15.0,12.0,227.99999999999997,12.0,12.0,150.0,9.0,10.0,28.000000000000004,0.0,6.0
01011201,01,01,12,01,100.0,300.0,22.0,9.0,34.0,9.0,10.0,21.0,28.000000000000004,104.0,21.0,3.0,12.0,3.0,3.0,275.0,113.99999999999999,73.0,10.0,191.0,36.0,3.0,130.0,21.0,6.0,27.0,28.000000000000004,67.0
01011202,01,01,12,02,100.0,80.0,15.0,3.0,6.0,10.0,6.0,6.0,6.0,0.0,4.0,0.0,9.0,0.0,6.0,25.0,19.0,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,28.000000000000004,0.0,0.0
01011203,01,01,12,03,100.0,182.0,18.0,16.0,20.0,9.0,15.0,12.0,19.0,10.0,6.0,3.0,12.0,0.0,3.0,191.0,124.0,9.0,0.0,30.0,12.0,3.0,9.0,0.0,0.0,18.0,3.0,13.0
01011204,01,01,12,04,100.0,960.0,62.0,43.0,76.0,57.99999999999999,65.0,44.0,154.0,215.0,39.0,19.0,85.0,15.0,36.0,531.0,259.0,82.0,37.0,524.0,98.0,19.0,309.0,19.0,83.0,79.0,69.0,83.0
01011301,01,01,13,01,100.0,975.0,114.99999999999999,25.0,85.0,82.0,82.0,69.0,135.0,33.0,55.00000000000001,22.0,61.0,9.0,18.0,301.0,151.0,56.99999999999999,13.0,258.0,65.0,37.0,100.0,3.0,22.0,124.0,15.0,47.0
