id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14042,8013,8979,6029,2950,5063,100.0,57.06452072354365,63.94388263780088,42.93547927645635,21.008403361344538,36.05611736219912
010112,01,01,12,10134,4313,7282,5821,1461,2852,100.0,42.559700019735544,71.85711466350898,57.440299980264456,14.416814683244523,28.14288533649102
010113,01,01,13,51263,17664,39414,33599,5815,11849,100.0,34.45760099877104,76.88586309814096,65.54239900122896,11.343464096912003,23.11413690185904
010114,01,01,14,28360,9873,21374,18487,2887,6986,100.0,34.81311706629055,75.36671368124118,65.18688293370944,10.179830747531735,24.633286318758817
010221,01,02,21,44591,20432,31663,24159,7504,12928,100.0,45.82090556390303,71.00760243098382,54.179094436096975,16.82850799488686,28.99239756901617
010222,01,02,22,36613,17130,26503,19483,7020,10110,100.0,46.786660475787286,72.38685712724988,53.213339524212714,19.173517603037173,27.613142872750117
010331,01,03,31,37843,22257,23562,15586,7976,14281,100.0,58.81404751208942,62.262505615305344,41.185952487910576,21.076553127394764,37.737494384694656
010332,01,03,32,36649,22072,25087,14577,10510,11562,100.0,60.22538132009059,68.45207236213811,39.77461867990941,28.67745368222871,31.54792763786188
010441,01,04,41,43988,18444,32514,25544,6970,11474,100.0,41.929617168318636,73.91561334909521,58.070382831681364,15.84523051741384,26.08438665090479
010442,01,04,42,55880,33611,33747,22269,11478,22133,100.0,60.148532569792415,60.39191123836793,39.851467430207585,20.540443808160344,39.60808876163207
020101,02,01,01,40068,26746,26593,13322,13271,13475,100.0,66.75152241189977,66.3696715583508,33.24847758810023,33.12119397025057,33.6303284416492
020202,02,02,02,62899,25181,47368,37718,9650,15531,100.0,40.034022798454664,75.30803351404633,59.96597720154534,15.342056312500993,24.691966485953674
020303,02,03,03,22429,12657,14595,9772,4823,7834,100.0,56.43140576931651,65.07200499353516,43.56859423068349,21.503410762851665,34.92799500646485
020304,02,03,04,26431,12516,18177,13915,4262,8254,100.0,47.35348643638152,68.77151829291363,52.64651356361848,16.125004729295146,31.228481707086374
020405,02,04,05,23325,4997,20152,18328,1824,3173,100.0,21.42336548767417,86.39657020364416,78.57663451232582,7.819935691318328,13.603429796355842
020407,02,04,07,23915,6741,19371,17174,2197,4544,100.0,28.18733012753502,80.99937277859084,71.81266987246498,9.186702906125863,19.000627221409157
020506,02,05,06,28860,6953,24026,21907,2119,4834,100.0,24.09216909216909,83.25017325017325,75.90783090783091,7.342342342342342,16.74982674982675
020508,02,05,08,49069,12388,40302,36681,3621,8767,100.0,25.246082047728706,82.13332246428499,74.75391795227128,7.379404512013695,17.866677535715013
030101,03,01,01,15369,1839,14075,13530,545,1294,100.0,11.965645129806754,91.58045416097339,88.03435487019324,3.546099290780142,8.419545839026613
030202,03,02,02,26699,2683,25292,24016,1276,1407,100.0,10.049065508071463,94.73013970560696,89.95093449192854,4.779205213678415,5.269860294393049
030203,03,02,03,17366,1691,16812,15675,1137,554,100.0,9.737417943107221,96.80985834389037,90.26258205689278,6.547276286997581,3.190141656109639
