id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0101,01,01,103799,39863,77049,63936,13113,26750,100.0,38.4040308673494,74.22903881540284,61.59596913265061,12.633069682752243,25.77096118459715
0102,01,02,81204,37562,58166,43642,14524,23038,100.0,46.25634205211566,71.62947638047386,53.74365794788434,17.885818432589527,28.370523619526132
0103,01,03,74492,44329,48649,30163,18486,25843,100.0,59.50840358696235,65.30768404660903,40.49159641303764,24.81608763357139,34.69231595339097
0104,01,04,99868,52055,66261,47813,18448,33607,100.0,52.12380342051508,66.348580125766,47.87619657948492,18.47238354628109,33.65141987423399
0201,02,01,40068,26746,26593,13322,13271,13475,100.0,66.75152241189977,66.3696715583508,33.24847758810023,33.12119397025057,33.6303284416492
0202,02,02,62899,25181,47368,37718,9650,15531,100.0,40.034022798454664,75.30803351404633,59.96597720154534,15.342056312500993,24.691966485953674
0203,02,03,48860,25173,32772,23687,9085,16088,100.0,51.52067130577159,67.07327056897257,48.47932869422841,18.593941874744164,32.926729431027425
0204,02,04,47240,11738,39523,35502,4021,7717,100.0,24.847586790855207,83.66426756985605,75.1524132091448,8.511854360711261,16.335732430143945
0205,02,05,77929,19341,64328,58588,5740,13601,100.0,24.81874526812868,82.54693374738544,75.18125473187132,7.365679015514122,17.453066252614562
0301,03,01,15369,1839,14075,13530,545,1294,100.0,11.965645129806754,91.58045416097339,88.03435487019324,3.546099290780142,8.419545839026613
0302,03,02,44065,4374,42104,39691,2413,1961,100.0,9.9262453194145,95.54975604221038,90.0737546805855,5.476001361624872,4.450243957789629
0303,03,03,33304,2236,32404,31068,1336,900,100.0,6.71390823925054,97.29762190727841,93.28609176074946,4.011530146528945,2.7023780927215952
0304,03,04,85855,10036,80402,75819,4583,5453,100.0,11.689476442839672,93.64859355890745,88.31052355716032,5.338070001747132,6.35140644109254
0305,03,05,51067,6441,46794,44626,2168,4273,100.0,12.612841952728768,91.63256114516224,87.38715804727123,4.245403097891006,8.367438854837763
0306,03,06,99797,21719,85328,78078,7250,14469,100.0,21.763179253885387,85.50156818341233,78.23682074611462,7.264747437297714,14.498431816587672
0307,03,07,57113,15605,46650,41508,5142,10463,100.0,27.323026281231943,81.68017789294908,72.67697371876805,9.00320417418101,18.319822107050936
0401,04,01,18842,8231,14536,10611,3925,4306,100.0,43.68432225878357,77.14679970279164,56.31567774121643,20.831121961575207,22.853200297208364
0402,04,02,39969,11583,32757,28386,4371,7212,100.0,28.979959468588156,81.95601591233206,71.02004053141184,10.935975380920212,18.04398408766794
0403,04,03,139209,58447,103364,80762,22602,35845,100.0,41.98507280420088,74.2509464186942,58.014927195799125,16.23601922289507,25.74905358130581
0404,04,04,51000,14508,42958,36492,6466,8042,100.0,28.447058823529414,84.23137254901961,71.55294117647058,12.67843137254902,15.768627450980391
0405,04,05,78354,29277,60821,49077,11744,17533,100.0,37.36503560762692,77.62335043520433,62.63496439237307,14.988386042831253,22.37664956479567
0406,04,06,75,6,75,69,6,0,100.0,8.0,100.0,92.0,8.0,0.0
0501,05,01,97571,31002,82534,66569,15965,15037,100.0,31.773785243566223,84.58865851533754,68.22621475643378,16.362443758903773,15.411341484662449
0502,05,02,85973,23575,75131,62398,12733,10842,100.0,27.421399741779396,87.38906400846777,72.5786002582206,14.810463750247171,12.610935991532223
0503,05,03,28067,11903,22073,16164,5909,5994,100.0,42.409235044714436,78.64395909787295,57.590764955285564,21.05319414258738,21.356040902127052
0504,05,04,19509,3221,17959,16288,1671,1550,100.0,16.510328566302732,92.0549489978984,83.48967143369727,8.565277564201137,7.945051002101594
0601,06,01,73463,20153,63150,53310,9840,10313,100.0,27.43285735676463,85.96164055374814,72.56714264323537,13.394497910512776,14.038359446251855
0602,06,02,76622,17915,67763,58707,9056,8859,100.0,23.38101328600141,88.43804651405601,76.6189867139986,11.819059800057424,11.561953485943985
0603,06,03,80170,17561,70957,62609,8348,9213,100.0,21.904702507172257,88.50817013845578,78.09529749282774,10.41287264562804,11.491829861544218
0604,06,04,67166,13866,59731,53300,6431,7435,100.0,20.64437364142572,88.93041121996248,79.35562635857428,9.574784861388203,11.069588780037519
0701,07,01,48543,23345,34366,25198,9168,14177,100.0,48.091382897637146,70.7949652885071,51.908617102362854,18.886348186144243,29.205034711492907
0702,07,02,49416,18363,38683,31053,7630,10733,100.0,37.1600291403594,78.28031406831796,62.8399708596406,15.440343208677351,21.719685931682044
0703,07,03,45289,13160,38466,32129,6337,6823,100.0,29.057828611804194,84.93453156395593,70.9421713881958,13.992360175760119,15.065468436044071
0704,07,04,62347,21101,51370,41246,10124,10977,100.0,33.84445121657818,82.39369977705422,66.1555487834218,16.23815099363241,17.60630022294577
0705,07,05,50963,15086,43828,35877,7951,7135,100.0,29.60186802189824,85.99964680258226,70.39813197810176,15.601514824480505,14.000353197417734
0706,07,06,31365,10115,27109,21250,5859,4256,100.0,32.24932249322493,86.43073489558425,67.75067750677508,18.680057388809182,13.56926510441575
0707,07,07,49843,9630,45775,40213,5562,4068,100.0,19.32066689404731,91.8383724896174,80.6793331059527,11.159039383664707,8.161627510382601
