id,district_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01,01,359363,21687,25370,7879,51511,119729,50952,34639,47596,173554,109238,100.0,6.03484498960661,7.059713993928145,2.1924906014253,14.333974282271686,33.31700815053303,14.17842126206649,9.63900011965617,13.244546600512574,48.29489958621227,30.397675887612248
02,02,276996,17180,18585,5535,33433,112490,38661,23519,27593,135237,66412,100.0,6.20225562824012,6.709483169432049,1.9982238010657194,12.06984938410663,40.61069473927421,13.957241259801586,8.49073632832243,9.961515689757253,48.82272668197375,23.975797484440207
03,03,386570,26373,30200,7580,33168,129989,63997,36375,58888,197231,38813,100.0,6.822309025532245,7.812297902061722,1.960835036345293,8.580076053496132,33.626251390433815,16.555087047623974,9.409680006208449,15.233463538298366,51.02077243448794,10.040354916315286
04,04,327449,14904,20309,6749,31906,80577,52858,44720,75426,169749,72938,100.0,4.5515484854129955,6.2021872108328315,2.0610843215279324,9.743807432607825,24.607496129168208,16.142361100507255,13.65708858478725,23.0344267351557,51.839828492375915,22.274613756646072
05,05,231120,13027,18462,6568,24324,50820,36362,29509,52048,118948,33423,100.0,5.636465905157493,7.988058151609553,2.8418137763932156,10.524402907580479,21.98857736240914,15.732952578746973,12.767826237452407,22.519903080650742,51.46590515749394,14.461318795430945
06,06,297421,14543,23095,7922,26412,60617,49078,39194,76560,157938,35820,100.0,4.8897018031679,7.7650871996261195,2.663564442322499,8.88034133433752,20.38087424896023,16.50118855090932,13.177953137135576,25.74128928354084,53.102504530614844,12.043534249430941
07,07,337766,17609,23855,8276,34607,83566,55564,43995,70294,173223,58169,100.0,5.213372571543613,7.062581787391271,2.450217014145888,10.245850677688104,24.740796883049214,16.450442021991556,13.025289697601297,20.811449346589058,51.28491322394794,17.221686019315147
08,08,326349,19363,23989,8291,38452,96670,46937,35573,57074,164184,77466,100.0,5.9332187320935565,7.350719628373306,2.540531762009383,11.7824782671312,29.621662698522133,14.382455592019586,10.900293857189695,17.48863946266114,50.30933142126987,23.737164814355186
09,09,250751,13958,17091,5102,21740,62961,41235,29815,58849,128576,14143,100.0,5.566478299189235,6.815924961415906,2.034687797855243,8.669955453816733,25.1089726461709,16.44460042033731,11.89028159409135,23.46909882712332,51.276365797145374,5.640256668966425
10,10,257105,15774,19847,5628,23943,60728,41460,42819,46906,130594,15894,100.0,6.135236576495984,7.71941424709749,2.188988934482021,9.312537679158321,23.61992182182377,16.12570739581105,16.65428521421209,18.243908130919273,50.794033566052775,6.181910114544642
11,11,270398,16399,18140,4958,28399,76136,38152,33857,54357,137100,29843,100.0,6.064763792631602,6.708629501697498,1.833593443738489,10.502666439840532,28.157012995658253,14.10957181635959,12.521172493879392,20.102589516194648,50.703037744362014,11.036694058388004
12,12,254902,13987,20539,7252,25077,53169,40829,32833,61216,130687,35768,100.0,5.487206848122024,8.05760645267593,2.8450149469207773,9.837898486477156,20.858604483291618,16.017528304995647,12.88063647990208,24.015503997614772,51.26950749699885,14.032059379683174
