id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01011101,01,01,11,01,100.0,628.0,60.0,68.0,78.0,21.0,87.0,28.000000000000004,109.00000000000001,22.0,16.0,28.999999999999996,86.0,16.0,22.0,327.0,118.0,73.0,27.0,466.0,107.0,51.0,241.0,9.0,43.0,15.0,47.0,78.0
01011102,01,01,11,02,100.0,42.0,0.0,0.0,6.0,3.0,3.0,6.0,12.0,0.0,3.0,6.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0
01011103,01,01,11,03,100.0,961.9999999999999,148.0,33.0,93.0,21.0,41.0,50.0,209.0,84.0,104.0,31.0,156.0,19.0,75.0,441.0,174.0,98.0,40.0,890.0,310.0,56.00000000000001,364.0,57.99999999999999,96.0,33.0,54.0,122.0
01011104,01,01,11,04,100.0,736.0,109.00000000000001,47.0,78.0,36.0,54.0,45.0,122.0,46.0,25.0,21.0,121.0,51.0,25.0,283.0,117.0,62.0,6.0,1345.0,409.99999999999994,63.0,676.0,193.0,119.0,24.0,45.0,204.99999999999997
01011105,01,01,11,05,100.0,247.00000000000003,21.0,12.0,22.0,19.0,19.0,16.0,65.0,3.0,12.0,3.0,9.0,0.0,0.0,195.0,118.0,31.0,13.0,288.0,40.0,6.0,198.0,3.0,13.0,0.0,37.0,34.0
01011201,01,01,12,01,100.0,401.99999999999994,33.0,12.0,36.0,16.0,34.0,18.0,34.0,99.0,39.0,10.0,47.0,7.000000000000001,21.0,356.0,163.0,89.0,16.0,317.0,50.0,25.0,186.0,27.0,9.0,38.0,39.0,41.0
01011202,01,01,12,02,100.0,134.0,18.0,3.0,15.0,18.0,7.000000000000001,9.0,6.0,0.0,19.0,0.0,7.000000000000001,4.0,3.0,36.0,18.0,9.0,0.0,24.0,3.0,3.0,9.0,0.0,0.0,0.0,27.0,3.0
01011203,01,01,12,03,100.0,197.0,6.0,16.0,19.0,12.0,9.0,17.0,19.0,24.0,12.0,0.0,6.0,0.0,6.0,217.0,141.0,21.0,0.0,65.0,21.0,6.0,16.0,3.0,0.0,15.0,28.999999999999996,11.0
01011204,01,01,12,04,100.0,1331.0,117.0,57.99999999999999,94.0,65.0,83.0,92.0,196.0,221.0,61.0,24.0,128.0,12.0,52.0,836.0,453.0,157.0,30.0,861.9999999999999,198.0,41.0,469.00000000000006,28.999999999999996,151.0,169.0,126.0,119.0
01011301,01,01,13,01,100.0,1292.0,150.0,31.0,114.99999999999999,112.00000000000001,108.0,104.0,181.0,53.0,68.0,30.0,80.0,16.0,12.0,403.0,208.0,57.99999999999999,34.0,433.0,95.0,49.0,171.0,0.0,43.0,25.0,163.0,56.00000000000001
01011302,01,01,13,02,100.0,2363.0,374.0,70.0,271.0,182.0,174.0,300.0,236.0,112.99999999999999,69.0,43.0,164.0,18.0,43.0,457.0,233.0,77.0,24.0,614.0,184.0,47.0,258.0,18.0,94.0,86.0,432.0,79.0
01011303,01,01,13,03,100.0,1698.0,192.0,70.0,218.00000000000003,89.0,155.0,149.0,196.0,99.0,73.0,24.0,134.0,22.0,52.0,581.0,266.0,109.00000000000001,40.0,888.0000000000001,144.0,60.0,480.0,33.0,136.0,301.0,248.0,108.0
01011304,01,01,13,04,100.0,877.9999999999999,64.0,33.0,104.0,24.0,117.0,34.0,170.0,55.00000000000001,40.0,10.0,219.0,30.0,19.0,369.0,134.0,76.0,28.000000000000004,840.0,262.0,27.0,332.0,18.0,100.0,669.0,59.0,120.0
01011305,01,01,13,05,100.0,919.0,87.0,16.0,107.0,42.0,83.0,76.0,119.0,85.0,36.0,25.0,83.0,9.0,22.0,503.0,260.0,83.0,18.0,657.0,171.0,19.0,328.0,19.0,97.0,117.0,80.0,120.0
01011306,01,01,13,06,100.0,1507.0,115.99999999999999,59.0,179.0,71.0,133.0,115.99999999999999,259.0,76.0,59.0,46.0,187.0,19.0,52.0,466.0,170.0,87.0,33.0,1071.0,604.0,39.0,264.0,12.0,79.0,154.0,347.0,227.99999999999997
01011401,01,01,14,01,100.0,3504.0,463.99999999999994,153.0,401.99999999999994,245.00000000000003,294.0,333.0,393.0,139.0,123.0,64.0,215.0,28.999999999999996,56.99999999999999,807.0,375.0,149.0,30.0,1253.0,237.0,96.0,577.0,34.0,164.0,101.0,484.99999999999994,133.0
01011402,01,01,14,02,100.0,2785.0,388.0,128.0,409.0,195.0,231.0,307.0,227.99999999999997,80.0,98.0,40.0,112.99999999999999,15.0,22.0,447.0,202.99999999999997,80.0,12.0,554.0,112.00000000000001,44.0,247.00000000000003,18.0,47.0,57.99999999999999,474.0,105.0
01022101,01,02,21,01,100.0,813.0000000000001,39.0,45.0,57.99999999999999,24.0,34.0,28.000000000000004,289.0,79.0,93.0,25.0,137.0,46.0,51.0,121.0,48.0,18.0,3.0,610.0,132.0,12.0,389.0,133.0,81.0,4.0,34.0,93.0
01022102,01,02,21,02,100.0,1406.0,85.0,82.0,120.0,30.0,51.0,55.00000000000001,376.0,204.0,76.0,79.0,343.0,51.0,104.0,181.0,48.0,35.0,18.0,1601.0000000000002,568.0,30.0,757.0,179.0,158.0,53.0,43.0,206.0
01022103,01,02,21,03,100.0,30.0,3.0,9.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,9.0,3.0,0.0,0.0,141.0,40.0,9.0,47.0,15.0,9.0,6.0,3.0,9.0
01022104,01,02,21,04,100.0,3146.0,239.0,157.0,346.0,122.0,163.0,169.0,783.0,259.0,219.0,188.0,763.0,121.0,265.0,542.0,199.0,140.0,21.0,3408.0,1441.0,122.0,1349.0,404.0,310.0,100.0,167.0,532.0
01022105,01,02,21,05,100.0,1054.0,64.0,69.0,112.99999999999999,21.0,43.0,26.0,190.0,283.0,91.0,37.0,227.99999999999997,27.0,136.0,231.99999999999997,80.0,67.0,9.0,1269.0,522.0,45.0,557.0,225.0,89.0,19.0,55.00000000000001,160.0
01022106,01,02,21,06,100.0,1480.0,160.0,53.0,168.0,71.0,107.0,96.0,293.0,99.0,99.0,59.0,223.0,48.0,63.0,368.0,139.0,104.0,21.0,1094.0,403.0,81.0,438.0,132.0,62.0,21.0,117.0,200.0
01022201,01,02,22,01,100.0,1764.9999999999998,194.0,76.0,210.0,70.0,93.0,103.0,341.0,121.0,179.0,66.0,311.0,61.0,89.0,399.0,167.0,70.0,24.0,2104.0,1003.9999999999999,67.0,769.0,157.0,237.0,43.0,108.0,309.0
01022202,01,02,22,02,100.0,306.0,19.0,12.0,40.0,17.0,10.0,21.0,71.0,16.0,3.0,22.0,66.0,0.0,16.0,127.0,60.0,28.000000000000004,4.0,682.0,389.0,13.0,225.99999999999997,68.0,27.0,15.0,28.000000000000004,175.0
01022203,01,02,22,03,100.0,1045.0,46.0,55.00000000000001,79.0,34.0,56.99999999999999,55.00000000000001,250.99999999999997,155.0,64.0,72.0,327.0,86.0,86.0,250.99999999999997,83.0,71.0,27.0,1951.0000000000002,1060.0,24.0,692.0,239.0,147.0,21.0,46.0,419.00000000000006
01022204,01,02,22,04,100.0,1099.0,106.0,61.0,96.0,38.0,37.0,60.0,259.0,92.0,80.0,19.0,106.0,22.0,37.0,327.0,126.0,64.0,18.0,727.0,272.0,48.0,299.0,52.0,55.00000000000001,15.0,87.0,112.99999999999999
01022205,01,02,22,05,100.0,404.0,18.0,16.0,66.0,15.0,9.0,10.0,145.0,28.000000000000004,34.0,18.0,163.0,37.0,63.0,315.0,124.0,94.0,14.000000000000002,978.9999999999999,347.0,43.0,457.0,121.0,119.0,6.0,15.0,139.0
01022206,01,02,22,06,100.0,479.0,37.0,22.0,53.0,22.0,33.0,24.0,156.0,27.0,23.0,3.0,34.0,9.0,9.0,151.0,64.0,16.0,28.000000000000004,310.0,118.0,12.0,109.00000000000001,19.0,15.0,15.0,28.000000000000004,74.0
