id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
010111,01,01,11,14798,9024,9008,5774,3234,5790,100.0,60.981213677523996,60.8730909582376,39.01878632247601,21.85430463576159,39.126909041762396
010112,01,01,12,12431,6486,8049,5945,2104,4382,100.0,52.17601158394337,64.74941678062908,47.823988416056636,16.92542836457244,35.25058321937093
010113,01,01,13,57101,24317,40448,32784,7664,16653,100.0,42.585944204129525,70.83588728743806,57.414055795870475,13.421831491567573,29.164112712561952
010114,01,01,14,31593,13285,22150,18308,3842,9443,100.0,42.0504542145412,70.11046750862533,57.9495457854588,12.160921723166524,29.88953249137467
010221,01,02,21,46359,23140,31365,23219,8146,14994,100.0,49.914795401108734,67.65676567656766,50.085204598891266,17.571561077676396,32.34323432343234
010222,01,02,22,39005,20201,26757,18804,7953,12248,100.0,51.790796051788234,68.59889757723369,48.209203948211766,20.38969362902192,31.401102422766314
010331,01,03,31,39151,24662,23089,14489,8600,16062,100.0,62.992005312763396,58.97422798906796,37.0079946872366,21.96623330183137,41.02577201093203
010332,01,03,32,38876,24712,25711,14164,11547,13165,100.0,63.56621051548513,66.13591933326474,36.43378948451487,29.70212984874987,33.86408066673526
010441,01,04,41,46337,21829,32416,24508,7908,13921,100.0,47.10922157239355,69.95705375833568,52.89077842760644,17.066275330729223,30.042946241664332
010442,01,04,42,57806,36611,33394,21195,12199,24412,100.0,63.33425595958897,57.769089713870535,36.66574404041103,21.103345673459504,42.23091028612947
020101,02,01,01,40904,28410,26147,12494,13653,14757,100.0,69.4553099941326,63.92284373166438,30.5446900058674,33.37815372579699,36.077156268335614
020202,02,02,02,65900,28505,48289,37395,10894,17611,100.0,43.25493171471927,73.27617602427921,56.74506828528073,16.531107738998482,26.72382397572079
020303,02,03,03,22127,12837,14396,9290,5106,7731,100.0,58.015094680706824,65.06078546572061,41.98490531929317,23.07588014642744,34.93921453427939
020304,02,03,04,26435,13226,17813,13209,4604,8622,100.0,50.03215434083601,67.38414980139966,49.96784565916399,17.416304142235674,32.61585019860034
020405,02,04,05,23990,6814,19737,17176,2561,4253,100.0,28.40350145894123,82.27177990829513,71.59649854105878,10.675281367236348,17.728220091704877
020407,02,04,07,25279,9479,18842,15800,3042,6437,100.0,37.49752759207247,74.5361762727956,62.502472407927534,12.033703864868073,25.4638237272044
020506,02,05,06,30854,9645,24052,21209,2843,6802,100.0,31.26012834640565,77.9542360796007,68.73987165359435,9.214364426006352,22.0457639203993
020508,02,05,08,53631,17738,40954,35893,5061,12677,100.0,33.07415487311443,76.36255150938823,66.92584512688558,9.436706382502658,23.637448490611774
