id,district_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
01,01,100.0,16482.0,20928.0,6195.0,29595.0,76876.0,25110.0,15210.0,13871.0,96724.0,131070.0
02,02,100.0,9764.0,11795.0,3629.9999999999995,17283.0,52616.0,14919.999999999998,8370.0,8276.0,61048.0,78890.0
03,03,100.0,9413.0,9758.0,2269.0,10724.0,38149.0,9299.0,4160.0,4471.0,43751.0,56249.0
04,04,100.0,10026.0,13285.0,3936.0,15935.0,46275.0,20346.0,15401.0,17519.0,71154.0,85244.0
05,05,100.0,8767.0,12107.0,3561.0,9997.0,26163.0,11793.0,8340.0,7883.0,43457.0,47504.0
06,06,100.0,7047.0,10476.0,3078.0,10097.0,24245.0,11810.0,8701.0,9541.0,43334.0,44797.0
07,07,100.0,11082.0,14749.0,4431.0,15034.0,42105.0,18094.0,12932.0,13012.0,64477.0,71547.0
08,08,100.0,13521.0,18368.0,5553.0,17861.0,53499.0,19680.0,12627.0,11761.0,73901.0,84710.0
09,09,100.0,4635.0,4644.0,1229.0,6221.0,14972.0,4341.0,2404.0,3419.0,20092.0,25251.0
10,10,100.0,6019.0,7184.999999999999,1941.0,6559.999999999999,16331.0,5441.0,4358.0,4673.0,25535.0,28322.000000000004
11,11,100.0,8184.0,8713.0,2316.0,12323.0,26114.999999999996,7248.999999999999,5143.0,4572.0,35366.0,47671.0
12,12,100.0,8930.0,12115.0,3638.0000000000005,10401.0,26195.0,11792.0,7944.0,7165.000000000001,42947.0,47217.0
