id,district_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01,01,383457,204267,252387,179190,73197,131070,100.0,53.269858158802684,65.81885322213442,46.73014184119732,19.088711380937106,34.18114677786557
02,02,289120,126654,210230,162466,47764,78890,100.0,43.80672385168788,72.71375207526287,56.19327614831212,16.52047592695075,27.286247924737133
03,03,407039,88243,350790,318796,31994,56249,100.0,21.679249408533334,86.18093106557357,78.32075059146668,7.860180474106904,13.819068934426431
04,04,341327,142723,256083,198604,57479,85244,100.0,41.81415475482455,75.0257084848254,58.18584524517545,16.839863239649954,24.9742915151746
05,05,243080,88611,195576,154469,41107,47504,100.0,36.453430969228236,80.45746256376502,63.546569030771764,16.910893532993253,19.542537436234987
06,06,308077,84995,263280,223082,40198,44797,100.0,27.588882000279153,85.45915469184652,72.41111799972086,13.04803669212567,14.54084530815348
07,07,351429,131439,279882,219990,59892,71547,100.0,37.401295852078235,79.64112238887515,62.598704147921765,17.042418240953364,20.358877611124864
08,08,330786,152870,246076,177916,68160,84710,100.0,46.21416867702986,74.39129830162099,53.78583132297013,20.60546697865085,25.60870169837901
09,09,269775,41865,244524,227910,16614,25251,100.0,15.518487628579372,90.63997775924382,84.48151237142064,6.158465387823186,9.360022240756185
10,10,268739,52508,240417,216231,24186,28322,100.0,19.53866018702161,89.46115003776899,80.4613398129784,8.999810224790595,10.538849962231012
11,11,290493,74615,242822,215878,26944,47671,100.0,25.685644748754704,83.5896217809035,74.3143552512453,9.275266529658202,16.410378219096504
12,12,264826,88180,217609,176646,40963,47217,100.0,33.29733485382855,82.17055727156699,66.70266514617144,15.467892125395544,17.82944272843301
