district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,1,11,1,2023,513.0,41.0,51.0,75.0,21.0,62.0,92.0,25.0,21.0,18.0,30.0,80.0,9.0,35,367.0,129.0,86.0,20.0,483.0,82.0,51.0,265.0,28.0,51.0,18.0,51.0,88.0
1,1,11,2,76,36.0,3.0,0.0,4.0,3.0,7.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,9.0,0.0,3.0,3.0,7.0,4.0
1,1,11,3,2969,877.0,136.0,35.0,69.0,27.0,43.0,195.0,69.0,133.0,27.0,53.0,137.0,24.0,59,437.0,190.0,91.0,43.0,922.0,335.0,71.0,368.0,62.0,81.0,28.0,57.0,139.0
1,1,11,4,2940,562.0,65.0,31.0,70.0,28.0,40.0,113.0,47.0,22.0,17.0,54.0,104.0,47.0,24,288.0,116.0,79.0,6.0,1263.0,361.0,82.0,649.0,169.0,117.0,18.0,55.0,186.0
1,1,11,5,1051,271.0,18.0,15.0,36.0,16.0,30.0,58.0,18.0,9.0,6.0,28.0,13.0,0.0,3,219.0,132.0,50.0,13.0,330.0,37.0,19.0,231.0,0.0,19.0,0.0,30.0,29.0
1,1,12,1,1456,297.0,24.0,6.0,35.0,15.0,21.0,25.0,93.0,12.0,6.0,18.0,31.0,6.0,16,341.0,163.0,87.0,10.0,313.0,57.0,23.0,195.0,24.0,19.0,50.0,58.0,77.0
1,1,12,2,302,111.0,18.0,0.0,17.0,9.0,12.0,3.0,6.0,17.0,0.0,12.0,3.0,0.0,3,37.0,15.0,12.0,0.0,16.0,7.0,0.0,6.0,0.0,0.0,9.0,38.0,3.0
1,1,12,3,599,169.0,12.0,18.0,21.0,9.0,9.0,22.0,21.0,6.0,6.0,24.0,19.0,3.0,10,201.0,122.0,13.0,7.0,55.0,18.0,3.0,15.0,0.0,3.0,18.0,19.0,16.0
1,1,12,4,4283,1155.0,88.0,41.0,106.0,62.0,82.0,161.0,224.0,67.0,28.0,79.0,128.0,25.0,34,935.0,490.0,145.0,44.0,951.0,192.0,49.0,506.0,37.0,191.0,180.0,116.0,152.0
1,1,13,1,2936,1106.0,117.0,32.0,105.0,90.0,106.0,163.0,47.0,81.0,28.0,118.0,87.0,13.0,21,400.0,190.0,66.0,21.0,478.0,118.0,58.0,174.0,7.0,39.0,33.0,182.0,66.0
